Id	Label	Size
1	Edna Krabappel	7
2	Janey Powell	6
3	Boris Becker	1
4	Martin Prince, Jr.	8
5	Julius Hibbert	8
6	Bart Simpson	22
7	Otto Mann	11
8	Ian	1
9	Lewis Clark	7
10	Milhouse Van Houten	14
11	Snowball II	9
12	Yellow weasel	2
13	Homer Simpson	22
14	Richard	6
15	Black weasel	1
16	Elizabeth Hoover	6
17	Zadume Magarabad	2
18	Mr. Black	1
19	Kent Brockman	12
20	Sydney Swift	1
21	Barney Gumble	18
22	Sherri Mackleberry	7
23	Seymour Skinner	12
24	Lisa Simpson	22
25	Terri Mackleberry	7
26	Ms. Phipps	1
27	Groundskeeper Willie	10
28	Dolph Starbeam	7
29	Martha Prince	1
30	Martin Prince, Sr.	3
31	Wendell Borton	7
32	Marge Simpson	22
33	Ralph Wiggum	7
34	Kearney Zzyzwicz	7
35	Krusty the Clown	16
36	Crandall	1
37	Maggie Simpson	21
38	Nelson Muntz	12
39	Jimbo Jones	8
40	Kowalski	1
41	Drederick Tatum	2
42	Blanche DuBois	1
43	Lionel Hutz	7
44	Miss Illinois	1
45	Miss Indiana	1
46	Rowena	1
47	Miss Alaska	1
48	Lou	11
49	Ms. Melon	2
50	Stella Kowalski	1
51	Patty Bouvier	11
52	Deborah Jo Smallwood	1
53	Selma Bouvier	11
54	Miss Vermont	1
55	Ms. Albright	2
56	Miss Kansas	1
57	Stanley Kowalski	1
58	Troy McClure	6
59	Pablo Gonzales	1
60	Miss South Dakota	1
61	Ms. Sinclair	1
62	Moe Szyslak	11
63	Apu Nahasapeemapetilon	11
64	Sanjay Nahasapeemapetilon	3
65	Miss North Carolina	1
66	Miss Idaho	1
67	Clancy Wiggum	14
68	Miss South Carolina	1
69	Miss Kentucky	1
70	Llewellyn Sinclair	1
71	Eddie	8
72	Miss Texas	1
73	Miss Montana	1
74	Steve Hubbell	1
75	Herman Hermann	2
76	Ned Flanders	16
77	Helen Lovejoy	4
78	William F. George	1
79	Abraham Simpson	18
80	Mr. Boswell	1
81	Miss Maine	1
82	Harold Mitchell	1
83	Sam	6
84	Luann Van Houten	2
85	Scratchy	9
86	God	1
87	Jamshed Nahasapeemapetilon	1
88	Maude Flanders	7
89	Rod Flanders	7
90	Todd Flanders	8
91	Timothy Lovejoy, Jr.	6
92	Itchy	9
93	Pahusacheta Nahasapeemapetilon	1
94	Jack Nicklaus	1
95	Darth Vader	1
96	Menthol Moose	1
97	Howard	1
98	Scott Christian	2
99	Bob Hope	1
100	Jack Larson	1
101	Adil Hoxha	1
102	Dave Shutton	4
103	Blue-haired lawyer	3
104	Pope	1
105	Joe Quimby	7
106	Ice cream lady	1
107	Amber Dempsey	1
108	Waylon Smithers, Jr.	8
109	Willie	1
110	Snowball I	1
111	William Shakespeare	1
112	Lenny Leonard	7
113	John Smith	1
114	Carl Carlson	10
115	Kodos	1
116	Zombies	1
117	Kang	1
118	Sideshow Mel	4
119	Albert Einstein	1
120	Clancy Bouvier	1
121	Charlie	4
122	House of Evil employee	1
123	Becky	4
124	King Homer	1
125	Jacqueline Bouvier	2
126	Sue Dokes	1
127	Charles Montgomery Burns	9
128	George Washington	1
129	Evil Krusty Doll	1
130	Earl Warren	1
131	Hikaru Sulu	1
132	Snake Jailbird	5
133	Santa's Little Helper	8
134	Montgomery Scott	1
135	James T. Kirk	1
136	Jasper Beardly	9
137	Jack Marley	2
138	Surly Joe	1
139	Tom Jones	1
140	Homer	1
141	Ron	1
142	Larry	5
143	Ruth Powers	3
144	Candy	1
145	Abby	1
146	Don Quixote	1
147	Laura Powers	1
148	Captain McCallister	1
149	Abigail	1
150	Zoo guard	1
151	House salesman	1
152	Moe Syzlak	1
153	Eubie Blake	1
154	Ooda	1
155	Shasta	1
