Id	Label	Size
1	Seymour Skinner	10
2	Rainier Wolfcastle	4
3	Krusty the Clown	8
4	Edna Krabappel	10
5	Marge Simpson	22
6	Barney Gumble	6
7	Ned Flanders	17
8	Nick Riviera	3
9	Sideshow Mel	5
10	Maggie Simpson	22
11	Moe Szyslak	13
12	Robyn Hannah	1
13	Manjula Nahasapeemapetilon	6
14	Gil Gunderson	4
15	Lenny Leonard	13
16	Wilma Flintstone	1
17	Anne Heche	1
18	Edward Christian	1
19	Dino	1
20	William Milo	1
21	Robin	1
22	Comic Book Guy	7
23	Bart Simpson	22
24	Irene Ryan	1
25	Adam West	1
26	Jonathan Frink	5
27	Mel Gibson	2
28	Fred Flintstone	1
29	Apu Nahasapeemapetilon	9
30	Luann Van Houten	7
31	Homer Simpson	22
32	Ellen DeGeneres	1
33	Waylon Smithers, Jr.	4
34	Gus	2
35	Lisa Simpson	22
36	Maude Flanders	9
37	Librarian	1
38	Hoohah	1
39	Sir Widebottom	1
40	John Leguizamo	1
41	See-saw	1
42	Hosey the Bear	1
43	Female researcher	2
44	Oopsie	1
45	Mark McGwire	2
46	Noodles	1
47	Üter's father	1
48	Ernest P. Worrell	1
49	Daphne Beaumont	1
50	Johnny Newspaperseed	1
51	Charles Montgomery Burns	6
52	Nelson Muntz	10
53	Santa's Little Helper	5
54	Eddie	4
55	Otto Mann	9
56	Mimi	2
57	Lifeways editor	1
58	Horatio McCallister	6
59	Luigi Risotto	1
60	Clancy Wiggum	11
61	Hans Moleman	3
62	Jamie Killday	1
63	Selma Bouvier	3
64	Garth Trelawny	1
65	Akira	1
66	Patty Bouvier	4
67	French chef	2
68	Lou	4
69	Bob Denver	1
70	Arnie Pye	2
71	Matt Groening	1
72	Martin Prince, Jr.	3
73	Robot B-9	1
74	Pauly Shore	1
75	Xena	1
76	Martha Prince	5
77	Old Jewish man	2
78	Terri Mackleberry	8
79	Alice Glick	3
80	Ron Howard	2
81	Bumblebee Man	4
82	Ruth Powers	4
83	Kang	2
84	Tonya Harding	1
85	Timothy Lovejoy, Jr.	6
86	Dick Clark	1
87	Julius Hibbert	11
88	Clobber Girl	1
89	Groundskeeper Willie	7
90	Rosie O'Donnell	1
91	Sherri Mackleberry	7
92	Milhouse Van Houten	10
93	Todd Flanders	9
94	Stephen Hawking	2
95	Dan Quayle	1
96	Martin Prince, Sr.	5
97	Courtney Love	1
98	Abraham Simpson	5
99	Al Sharpton	1
100	Agnes Skinner	3
101	Ross Perot	1
102	Sugar Bear	1
103	Jasper Beardly	4
104	Disco Stu	3
105	Spike Lee	1
106	Kodos	2
107	Stretch Dude	1
108	Leonard Nimoy	1
109	Bill Clinton	3
110	Saddam Hussein	1
111	Elizabeth Hoover	6
112	Jack Marley	2
113	Larry	4
114	Ralph Wiggum	9
115	Jimmy Carter	2
116	Bill Gates	1
117	Jeri Ryan	1
118	Number 51	1
119	Tom Arnold	1
120	The Doctor	1
121	Helen Lovejoy	3
122	Kirk Van Houten	7
123	Paul McCartney	1
124	Lucy Lawless	1
125	Stan Lee	1
126	Brandine Del Roy	5
127	Michelle Kwan	1
128	Laura Schlessinger	1
129	Legs	2
130	Michael Jordan	1
131	Lewis Clark	4
132	Rod Flanders	7
133	Yasmine Bleeth	1
134	Bernice Hibbert	8
135	The Collector	1
136	Carl Carlson	9
137	Spalding Gray	1
138	Gina Gershon	1
139	Eric Roberts	1
140	Southern colonel	1
141	Curtis Armstrong	1
142	Posh Spice	1
143	Southern colonel's wife	1
144	Robert Evans	2
145	Emile	1
146	King Arthur	1
147	Shawn Wayans	1
148	Jar Jar Binks	1
149	Puddles	1
150	Snake Jailbird	2
151	John Byner	1
152	Scarlet Pimpernel	1
153	Man in the Iron Mask	1
154	Meryl Streep	2
155	Pelé	1
156	The Three Musketeers	1
157	Anthony Hopkins	1
158	Petunia	1
159	Robert Guccione	1
160	Zorro	1
161	"Stone Cold" Steve Austin	1
162	Rita Rudner	1
163	Cheech Marin	1
164	James Earl Jones	1
165	Herman Hermann	2
166	Lurleen Lumpkin	1
167	Eddie Muntz	1
168	Pat O'Brien	1
169	Princess Kashmir	1
170	Scratchy	2
171	Stevie Nicks	1
172	Teller	1
173	Kent Brockman	7
174	Jacques	1
175	Itchy	3
176	Pope	3
177	Della	1
178	Nancy O'Dell	1
179	Waldo	1
180	Capital City Goofball	1
181	Morlock	1
182	Jimbo Jones	3
183	Fat Tony	3
184	Shelbyville Nine	1
185	Nahasapeemapetilon octuplets	1
186	Allen Wrench	1
187	Dewey Largo	4
188	Richard	4
189	Gavin's mother	2
190	Butch Patrick	2
191	Gavin	1
192	Kearney Zzyzwicz	3
193	Larry Kidkill	1
194	Dolph Starbeam	4
195	Dennis the Menace	1
196	Wendell Borton	5
197	Jimmy's father	1
198	Melissa	3
199	Faceless man	1
200	Hell's Satans (Springfield)	1
201	Jimmy's mother	1
202	Gary Chalmers	3
203	Wolfguy Jack	1
204	Ramrod	1
205	NRBQ	1
206	Buck-toothed boy	2
207	Jay North	1
208	Sarah Wiggum	4
209	Girl with glasses	3
210	Hell's Satans (Bakersfield)	1
211	Meathook	1
212	Guinness Book of World Records host	1
213	Jimmy	1
214	Señora Bumblebee Man	1
215	Dixie Chicks	1
216	Yellow weasel	2
217	Lindsey Naegle	3
218	Beck	1
219	Téa Leoni	1
220	Janey Powell	4
221	Jim Hope	1
222	Howard	1
223	Funzo	1
224	Lunchlady Dora	1
225	Black weasel	1
226	Louie	1
227	Patrick Ewing	1
228	Sherri and Terri's mother	1
229	Gary Coleman	2
230	Mr. Sakamoto	1
231	Virtual doctor	1
232	Poochie	1
233	Ranger	1
234	Lucy McGillicuddy Ricardo Carmichael	1
235	Dean Peterson	1
236	Jeremy Freedman	3
237	Becky	3
238	Doug	1
239	Benjamin	1
240	Allison Taylor	3
241	Cletus Spuckler	4
242	Anton Lubchenko	1
243	Adrian	2
244	Martin Prince	2
245	Brother Faith	1
246	Mr. Muntz	1
247	Sam	3
248	Melvin Van Horne	1
249	The Rich Texan	2
250	Gary	1
251	Secretariat	1
252	Seat filler	1
253	Huey Long	1
254	Mayo Clinic doctor	1
255	Furious George	1
256	Britney Spears	1
257	Tupac Shakur	2
258	Cornelius Chapman	1
259	Nancy Drew	1
260	Mike Tyson	1
261	Al Unser, Jr.	1
262	Squeaky-voiced teen	1
263	Tree jockey	1
264	Database	1
265	Dolly	1
266	Duncan	1
267	Bachmanâ€“Turner Overdrive	1
268	Pearl butler	1
269	Ginger Flanders	1
270	Clay Babcock	1
271	John Wayne	1
272	Dr. Marvin Monroe	1
273	Bleeding Gums Murphy	1
274	Rachel Jordan	1
275	Hans	1
276	Bear	2
277	Bea Simmons	1
278	Mrs. Babcock	1
279	Diane	1
280	Sherlock Holmes	1
281	Frank Grimes	1
282	Amber Simpson	1
