Id	Label	Size
1	Milhouse Van Houten	12
2	Yellow weasel	1
3	Allison Taylor	2
4	Wendell Borton	3
5	Chuck	1
6	Homer Simpson	23
7	Apu Nahasapeemapetilon	9
8	Squeaky-voiced teen	7
9	Bart Simpson	23
10	Alex Whitney	1
11	Marge Simpson	22
12	Richard	2
13	Luigi Risotto	2
14	Martin Prince, Jr.	4
15	Nelson Muntz	9
16	Selma Bouvier	4
17	Elizabeth Hoover	4
18	Lisa Simpson	23
19	Janey Powell	3
20	Terri Mackleberry	3
21	Dash Dingo	2
22	Lewis Clark	3
23	Database	2
24	Krusty the Clown	9
25	Maggie Simpson	21
26	Lunchlady Dora	1
27	Abraham Simpson	9
28	Santa's Little Helper	3
29	Black weasel	1
30	Üter Zörker	2
31	Patty Bouvier	4
32	Sherri Mackleberry	3
33	Agnes Skinner	6
34	Bubbles	1
35	Groundskeeper Willie	8
36	Moe Szyslak	14
37	Barney Gumble	13
38	Buck-toothed girl	1
39	Race Banyon	1
40	Leonardo da Vinci	1
41	Bill	3
42	Pope	1
43	Sophie Jensen	1
44	Jonathan Frink	6
45	Kent Brockman	8
46	Drederick Tatum	2
47	Carl Carlson	13
48	Thomas Edison	1
49	Buzz Aldrin	1
50	Lenny Leonard	16
51	Lucius Sweet	2
52	Ned Flanders	15
53	Marty	3
54	Snowball II	5
55	Librarian	1
56	Jasper Beardly	8
57	Charles Montgomery Burns	8
58	Bart Junior	1
59	Chirpy Boy	1
60	Joe Quimby	7
61	Seymour Skinner	14
62	Troy McClure	1
63	Jerry Springer	1
64	Snake Jailbird	3
65	Nick Riviera	2
66	Killer Toupée	1
67	Eddie	6
68	Scratchy	1
69	Kathie Lee Gifford	1
70	Freddy Krueger	1
71	Regis Philbin	1
72	Clancy Wiggum	15
73	Horatio McCallister	5
74	Kodos	1
75	Jason Voorhees	1
76	Kang	1
77	Itchy	1
78	Poochie	1
79	Ed McMahon	1
80	Julius Hibbert	12
81	Lou	7
82	Otto Mann	8
83	Cletus Spuckler	4
84	Waylon Smithers, Jr.	6
85	Ranger Ned	1
86	Kirk Van Houten	4
87	Comic Book Guy	7
88	Todd Flanders	4
89	Ron Howard	1
90	Edna Krabappel	9
91	Rod Flanders	4
92	Kim Basinger	1
93	Bart-Bart	1
94	Sideshow Mel	4
95	Homie	1
96	Billy Baldwin	1
97	Roy Snyder	2
98	Ruth Powers	4
99	Alec Baldwin	1
100	Jill St. John	1
101	Mona Simpson	1
102	Maude Flanders	6
103	Ginsberg	1
104	Munchie	1
105	Seth	1
106	Jimi Hendrix	1
107	Bob Hope	1
108	Phyllis Diller	1
109	Gil Gunderson	5
110	Sarah Wiggum	4
111	Martin Prince, Sr.	1
112	Helen Lovejoy	2
113	Mr. Toad	1
114	Mr. Pinchy	1
115	Bernice Hibbert	5
116	Ralph Wiggum	7
117	Luann Van Houten	4
118	Timothy Lovejoy, Jr.	6
119	Gavin's mother	1
120	State Comptroller Atkins	1
121	Gavin	1
122	Gary Chalmers	4
123	Man in Dinner Jacket	1
124	British Raj Man	1
125	Sad-Looking Frenchman	1
126	Woman in wedding dress	1
127	Caribbean Outcast	1
128	C-3PO	1
129	Mayor Quimby's body guards	1
130	Willie	1
131	ALF	1
132	Legs	4
133	Leavelle	1
134	Ernie	1
135	Larry	5
136	Robot B-9	1
137	The Yes Guy	1
138	Cylon	1
139	Chewbacca	1
140	Clarice	1
141	Louie	3
142	Sam	4
143	Princess Kashmir	1
144	Gort	1
145	Dr. Smith	1
146	Fat Tony	3
147	R2-D2	1
148	Professor Frink	1
149	Mark Hamill	1
150	Gunter	2
151	Anastasia	1
152	Lance Murdock	1
153	Ernst	1
154	Don Rickles	1
155	Ginger Flanders	1
156	Roscoe	1
157	Amber Simpson	1
158	The Moody Blues	1
159	Pyro	1
160	Old Jewish man	3
161	Fishbone Walker	1
162	Stan Kadlubowski	1
163	Becky	1
164	Gyro	1
165	Smash Diggins	1
166	Rupert Murdoch	2
167	John Madden	1
168	Dolly Parton	1
169	Pat Summerall	1
170	Rudy	1
171	Springfield Post Office employee (2)	1
172	Wally Kogen	1
173	Bill Clinton	2
174	Troy Aikman	1
175	Rosey Grier	1
176	Springfield Post Office employee (3)	1
177	Springfield Post Office employee (1)	1
178	Trent Steele	1
179	Herman Hermann	1
180	Hans Moleman	2
181	Jeremy Freedman	1
182	Sanjay Nahasapeemapetilon	2
183	Chief	1
184	Maria Wolfcastle	1
185	Ed Begley, Jr.	1
186	Lance Kaufman	1
187	Charlie	1
188	Chilton Danes	1
189	Lindsey Naegle	2
190	Neil	1
191	Jasper Beardley	1
192	Manjula Nahasapeemapetilon	1
193	Elton John	1
194	Fantastic Dan	1
195	Dave Barry	1
196	Erma Bombeck	1
197	Sergeant Crew	1
198	Stone Phillips	1
199	OmniTouch representative	1
200	Engineer	1
201	Trucker 1	1
202	Female actress	1
203	Red Barclay	1
204	Tony Randall	1
205	Trucker 3	1
206	Loading dock worker	1
207	Trucker 5	1
208	Female trucker	1
209	Trucker 4	1
210	Bumblebee Man	1
211	Gwen	1
212	Trucker 6	1
213	Nureen	1
214	Waiter	1
215	Tourist	1
216	Male actor	1
217	Señor Ding-Dong	1
218	Rafael	1
219	Trucker 2	1
220	Marlin	1
221	Goliath	1
222	Mrs. Krabapatra	1
223	Gary the Unicorn	1
224	Eve	1
225	Snake	1
226	Jonah	1
227	Adam	1
228	Goliath II	1
229	Kyoto	1
230	Gillian	1
231	Rowena	1
232	Christo	1
233	Cecil Hampstead	1
234	Kako	1
235	Dowager	1
236	Akbar	1
237	Joseph Turner	1
238	Alonzo Flowers	1
239	Andy Warhol	1
240	Shaquille O'Neal	1
241	Claes Oldenburg	1
242	Débutante	1
243	Mom	1
244	Astrid Weller	1
245	Michelangelo	1
246	Aileen	1
247	The Rich Texan	1
248	Jasper Johns	1
249	Jeff	1
250	Hans	1
251	Dorothy	1
252	Backstreet Boys	1
253	Springy	1
254	Lefty	1
255	Rizzo	1
256	Hester	1
257	Clark Gable	1
258	Scarlett O'Hara	1
259	Rhett Butler	1
260	Cinnamon	1
261	Paddy-Whack	1
262	Knick-Knack	1
263	Kearney Zzyzwicz	1
264	Willie's father	1
265	Melissa	1
266	Jimbo Jones	1
267	Loch Ness Monster	1
268	Bill Gates	1
269	Dolph Starbeam	1
270	Willie's mother	1
271	Arthur Fortune	1
272	Kevin Costner	1
273	Jerry Rude	1
274	Noodles	1
275	Muhammad Ali	1
276	Mel Lazarus	1
277	Geena Davis	1
278	Rainier Wolfcastle	1
279	Jane Austen	1
280	Stephen Hawking	1
281	Madeleine Albright	1
282	Marilyn vos Savant	1
283	Princess Diana	1
284	Grandma Plopwell	1
285	Rodan	1
286	Sumo wrestler	1
287	Burt Reynolds	1
288	Mothra	1
289	Tikashi	1
290	Wink	1
291	Jim Belushi	1
292	Woody Allen	1
293	Chuck Garabedian	1
294	Matt Davis	1
295	US marine	1
296	Roy Cohn	1
297	Godzilla	1
298	Gamera	1
299	Emperor Akihito	1
