Id	Label	Size
1	Agnes Skinner	5
2	Legs	5
3	Waylon Smithers, Jr.	5
4	Dolph Starbeam	4
5	Comic Book Guy	9
6	Lou	9
7	Jack Marley	2
8	Ruth Powers	4
9	Hans Moleman	3
10	St. Peter	1
11	Sherri Mackleberry	8
12	Maggie Simpson	19
13	George Cauldron	1
14	Jeremy Freedman	1
15	Gary Chalmers	6
16	Larry	4
17	Charles Montgomery Burns	8
18	Terri Mackleberry	8
19	Marge Simpson	21
20	Julius Hibbert	13
21	Brandine Del Roy	3
22	Rod Flanders	6
23	Herman Hermann	4
24	Melvin Van Horne	4
25	Kodos	1
26	Lisa Simpson	21
27	"Just stamp the ticket" man	1
28	Martha Quimby	2
29	Seymour Skinner	12
30	Julius Hibbert's son	1
31	Helen Lovejoy	7
32	Troll	1
33	Barney Gumble	5
34	King Snorky	1
35	Kearney Zzyzwicz	4
36	Luann Van Houten	5
37	Groundskeeper Willie	10
38	Abraham Simpson	5
39	Clancy Wiggum	13
40	Alice Glick	4
41	Apu Nahasapeemapetilon	9
42	Ned Flanders	14
43	Moe Szyslak	13
44	Mrs. Albright	1
45	Kirk Van Houten	7
46	Goldilocks	1
47	Sanjay Nahasapeemapetilon	6
48	Todd Flanders	6
49	Cletus Spuckler	10
50	Nelson Muntz	9
51	Disco Stu	3
52	Akira	2
53	Martha Prince	5
54	Nick Riviera	5
55	Charlie	2
56	Mona Simpson	1
57	Jonathan Frink	8
58	Timothy Lovejoy	3
59	Jimbo Jones	5
60	Kent Brockman	10
61	Doris Freedman	1
62	Dewey Largo	5
63	Eddie	7
64	Bear family	1
65	Carl Carlson	12
66	Old Jewish man	4
67	Edna Krabappel	8
68	Arnie Pye	3
69	Devil	1
70	Suzanne	1
71	Sarah Wiggum	4
72	Julius Hibbert's daughter	1
73	Patty Bouvier	3
74	Fat Tony	6
75	Horatio McCallister	5
76	Lenny Leonard	13
77	Bart Simpson	21
78	Luigi Risotto	2
79	Martin Prince, Sr.	4
80	Kang	1
81	Bernice Hibbert	5
82	Milhouse Van Houten	14
83	Krusty the Clown	9
84	Homer Simpson	21
85	Rafael	5
86	Selma Bouvier	4
87	Elizabeth Hoover	5
88	Joe Quimby	5
89	Bumblebee Man	2
90	Rapunzel	1
91	Otto Mann	8
92	Flanders' pet woodpecker	1
93	Louie	6
94	Freddy Quimby	1
95	Dave Shutton	1
96	Mrs. Vanderbilt	3
97	Manjula Nahasapeemapetilon	4
98	Phony McRing-Ring	1
99	The Who	1
100	Jasper Beardly	4
101	The Rich Texan	2
102	Gil Gunderson	2
103	Bill	1
104	Waylon Smithers	2
105	Lindsey Naegle	3
106	Roy Snyder	2
107	Rainier Wolfcastle	4
108	Lionel Hutz	1
109	Sam	2
110	Marty	1
111	Snowball II	3
112	Pyro	2
113	Stacy Lovell	1
114	Santa's Little Helper	6
115	Frankie the Squealer	1
116	Timothy Lovejoy, Jr.	4
117	John Updike	1
118	Johnny Tightlips	1
119	Maya Angelou	1
120	Don Vittorio DiMaggio	1
121	Stephen King	1
122	Amy Tan	1
123	"Dummies" Author	1
124	Christopher Walken	1
125	Saddam Hussein	1
