Id	Label	Size
1	Dudley Herschbach	1
2	"Just stamp the ticket" man	3
3	Santa's Little Helper	4
4	Horatio McCallister	9
5	Barney Gumble	9
6	Martin Prince, Jr.	7
7	Waylon Smithers, Jr.	9
8	Carl Carlson	17
9	Timothy Lovejoy	3
10	Frankie the Squealer	1
11	Arnie Pye	2
12	Bernice Hibbert	9
13	Sarah Wiggum	6
14	Blue-haired lawyer	8
15	Fat Tony	4
16	Elizabeth Hoover	8
17	Kirk Van Houten	10
18	Jasper Beardly	8
19	Comic Book Guy	11
20	Lou	13
21	Patty Bouvier	13
22	Lunchlady Dora	5
23	Sanjay Nahasapeemapetilon	5
24	Jonathan Frink Sr.	1
25	Sideshow Mel	7
26	Kodos	1
27	Herman Hermann	4
28	Groundskeeper Willie	12
29	Helen Lovejoy	8
30	Maggie Simpson	21
31	Apu Nahasapeemapetilon	9
32	Bart Simpson	22
33	Richard	6
34	Joe Quimby	11
35	Lisa Simpson	22
36	Lewis Clark	6
37	Marge Simpson	22
38	Otto Mann	12
39	Legs	5
40	Jonathan Frink	10
41	Martha Prince	5
42	Seymour Skinner	15
43	Gary Chalmers	9
44	Clancy Wiggum	16
45	Milhouse Van Houten	14
46	Sam	6
47	Ms. Albright	3
48	Oscar De La Hoya	1
49	Nelson Muntz	13
50	Terri Mackleberry	9
51	Martin Prince, Sr.	6
52	Luigi Risotto	6
53	Hans Moleman	6
54	Rainier Wolfcastle	3
55	Lenny Leonard	18
56	Janey Powell	5
57	Cletus Spuckler	10
58	Julius Hibbert	12
59	Agnes Skinner	10
60	Moe Szyslak	17
61	Kang	1
62	Pope	1
63	Nick Riviera	7
64	Louie	4
65	Grim Reaper	1
66	Dewey Largo	7
67	Charlie Brown	2
68	Kent Brockman	14
69	Abraham Simpson	15
70	Ned Flanders	14
71	Sherri Mackleberry	9
72	Homer Simpson	22
73	Johnny Tightlips	1
74	God	1
75	Kearney Zzyzwicz	7
76	Disco Stu	8
77	Krusty the Clown	11
78	Snake Jailbird	10
79	Jennifer Garner	1
80	Luann Van Houten	10
81	Old Jewish man	5
82	Unnamed lawyer	1
83	Elderly woman	1
84	Gil Gunderson	5
85	Unnamed hobo	1
86	Tokyo Rose	1
87	Female prisoner	1
88	John Wayne	1
89	Batman	1
90	Stevie McGregor	1
91	Roy Snyder	3
92	Eddie	12
93	Charles Montgomery Burns	9
94	Agent	1
95	Cora	1
96	Mona Simpson	1
97	Becky	1
98	Edna Krabappel	10
99	Database	4
100	Jimbo Jones	6
101	Drederick Tatum	5
102	Guy with zombie mask	1
103	Mr. Kupferberg	1
104	Unnamed gypsy	1
105	Rafael	8
106	Üter Zörker	1
107	Repo man	1
108	Geraldine Ferraro	1
109	Wendell Borton	5
110	Ralph Wiggum	14
111	Michael Moore	2
112	Squeaky-voiced English teen	1
113	R2-D2	1
114	Queen Elizabeth II	1
115	Ian McKellen	1
116	Chuck Shadowski	1
