Id	Label	Size
1	Barney Gumble	11
2	Santa Claus	4
3	Blinky	2
4	Annie Crawford	1
5	Springfield Nuclear Power Plant security guard	1
6	Bumblebee Man	7
7	The Grumple	3
8	Homer Simpson	22
9	Joe Quimby	9
10	George W. Bush	1
11	Carl Carlson	15
12	Julius Hibbert	17
13	Lenny Leonard	15
14	Ralph Wiggum	18
15	Marge Simpson	22
16	Helburn	1
17	Smilin' Joe Fission	1
18	Bill Clinton	2
19	Sherlock Holmes	1
20	Bart Simpson	22
21	Scarecrow	1
22	Selma Bouvier	13
23	Nelson Muntz	22
24	Mrs. Muntz	7
25	Moe Szyslak	16
26	Robin Hood	1
27	Papa Smurf	1
28	Robert Terwilliger	2
29	Sherman	1
30	Waylon Smithers	5
31	Otto Mann	13
32	Itchy	6
33	Krusty the Clown	16
34	El Barto	1
35	Moe Szyslak's grandmother	1
36	Lisa Simpson	22
37	Abraham Simpson	13
38	Scratchy	8
39	Santa's Little Helper	10
40	Hibbert family	1
41	Lou	12
42	Patty Bouvier	13
43	FBI agent	1
44	Hot Tubs salesman	1
45	Maggie Simpson	21
46	Clancy Wiggum	16
47	Eddie	8
48	Señora Bumblebee Man	5
49	Milhouse's dog	1
50	Easter Bunny	1
51	Ronald Reagan	1
52	The Big & Tall Hazmat Suit Store employee	1
53	Bluella	1
54	Abraham Lincoln	4
55	Milhouse Van Houten	20
56	Charles Montgomery Burns	13
57	Apu Nahasapeemapetilon	12
58	Jebediah Springfield	4
59	Dr. Thurston	1
60	Cthulhu	1
61	The Terrifying Callback	1
62	Mr. Burnsum	1
63	Agnes Skinner	11
64	Richard Matheson	1
65	Count Orlok	1
66	Groundskeeper Willie	14
67	Gort	1
68	Ray Bradbury	1
69	Melissa	7
70	Rod Serling	1
71	Bore-Ax	1
72	Homer Strongman	1
73	Freak Carl	1
74	Manjula Nahasapeemapetilon	4
75	Miniature Marvels	1
76	Freak Barney	1
77	The Appalachian Spring	1
78	H. P. Lovecraft	1
79	Jumbo	1
80	Nahasapeemapetilon octuplets	2
81	Freak Rafael	1
82	Hellboy	1
83	Janey Powell	12
84	Freak Lenny	1
85	The Human Donkey	1
86	The Fat In The Hat	1
87	The Lady that Couldn't Die	1
88	Brundlefly	1
89	Kodos	3
90	Ro-Man	1
91	Kang	3
92	Nick Riviera	4
93	Bee Man of Bumble	1
94	Mr. Teeny	4
95	Human Slug	1
96	Seymour Skinner	17
97	Jimbo Jones	21
98	The Happy Harlequin	1
99	Kearney Zzyzwicz	21
100	Terri Mackleberry	14
101	Dolph Starbeam	21
102	Ned Flanders	15
103	Elizabeth Hoover	11
104	The Snake Charmer	1
105	Stephen King	1
106	Edward C. Burke	1
107	Man or Maid?	1
108	Winslow Leach	1
109	The Creeper	1
110	The Spineless Man	1
111	Arnie Pye	6
112	Hypnotoad	1
113	Sherri Mackleberry	14
114	Martha Prince	5
115	Buck-toothed girl	7
116	Jonathan Frink	8
117	Old Jewish man	6
118	Comic Book Guy	13
119	Lyla	1
120	Linda Ronstadt	1
121	Ruth Powers	8
122	Akira	2
123	Lewis Clark	13
124	Rachel Maddow	1
125	Smug girl	5
126	Alice Glick	2
127	Buzz Aldrin	1
128	Sanjay Nahasapeemapetilon	2
129	Eugene Levy	1
130	Horatio McCallister	5
131	Winston Churchill	1
132	Martin Prince	12
133	Scott Christian	1
134	Rod Flanders	6
135	Roy Snyder	1
136	Jasper Beardly	9
137	Chuck	3
138	Luann Van Houten	11
139	Martin Prince, Sr.	10
140	Brandine Del Roy	8
141	Larry	7
142	Jack Marley	3
143	Fat Tony	3
144	Pablo Picasso	1
145	Wolfgang Amadeus Mozart	1
146	Sherri and Terri's mother	3
147	Sophie Jensen	10
148	Chip Davis	1
149	Jessica Lovejoy	4
150	Eve	1
151	Long haired girl	5
152	Frankie the Squealer	1
153	Ms. Albright	1
154	Juan Belmonte	1
155	Cletus Spuckler	13
156	Joseph Stalin	1
157	Legs	3
158	The Rich Texan	5
159	Louie	5
160	Sarah Wiggum	9
161	Drederick Tatum	4
162	Gary Chalmers	12
163	Bernice Hibbert	12
164	Timothy Lovejoy	4
165	Surly Duff	2
166	Pie Man	1
167	Dewey Largo	9
168	Rafael	7
169	Adrian	7
170	Doris Freedman	1
171	Lindsey Naegle	3
172	Edna Krabappel	7
173	Martha Quimby	2
174	Johnny Tightlips	2
175	Swimming pool lifeguard	1
176	Joe Namath	1
177	"Just stamp the ticket" man	2
178	Ernest Hemingway	1
179	Luigi Risotto	3
180	Kirk Van Houten	14
181	Sherri and Terri's father	3
182	Dexter Colt	1
183	Todd Flanders	6
184	Jacqueline Bouvier	1
185	Spud	1
186	Helen Lovejoy	10
187	Cookie Kwan	8
188	Peaches Spuckler	1
189	Gene Simmons	1
190	Gil Gunderson	9
191	Adam	1
192	Rainier Wolfcastle	6
193	Frank Sinatra	1
194	KISS	1
195	Lucius Sweet	1
196	King Snorky	1
197	Herman Hermann	2
198	Dave Shutton	2
199	Race Banyon	1
200	Sam	3
201	Crazy Cat Lady	3
202	Kent Brockman	11
203	Cupcake Kid	1
204	Sideshow Mel	6
205	Hans Moleman	4
206	Jeremy Freedman	2
207	Lionel Hutz	3
208	Richard	12
209	Cooder	1
210	The Who	1
