Id	Label	Size
1	Legs	7
2	Abraham Simpson	11
3	Clancy Wiggum	12
4	Homer's clones	1
5	Bart Simpson	22
6	Brandine Del Roy	7
7	Maggie Simpson	22
8	Disco Stu	8
9	Gary Chalmers	4
10	Jeremy Freedman	4
11	Lisa Simpson	22
12	Homer Simpson	22
13	Rafael	9
14	Agnes Skinner	10
15	Charles Montgomery Burns	12
16	Groundskeeper Willie	12
17	Ruth Powers	8
18	Hammock man	1
19	Edna Krabappel	7
20	Sanjay Nahasapeemapetilon	3
21	Larry	5
22	Krusty the Clown	12
23	Kent Brockman	11
24	Timothy Lovejoy, Jr.	6
25	Eddie	5
26	Moe Szyslak	19
27	Hans Moleman	9
28	Jasper Beardly	10
29	Horatio McCallister	9
30	Jonathan Frink	8
31	Martin Prince, Sr.	6
32	Kirk Van Houten	14
33	Lunchlady Dora	2
34	Maude Flanders (ghost)	1
35	Apu Nahasapeemapetilon	13
36	Fat Tony	8
37	Sarah Wiggum	3
38	Selma Bouvier	8
39	Rainier Wolfcastle	9
40	Otto Mann	14
41	Barney Gumble	14
42	Manjula Nahasapeemapetilon	5
43	Carl Carlson	16
44	Bumblebee Man	5
45	Melvin Van Horne	1
46	Lou	7
47	Dewey Largo	5
48	Snake Jailbird	5
49	Julius Hibbert	14
50	Ned Flanders	16
51	Luann Van Houten	6
52	Comic Book Guy	14
53	Seymour Skinner	12
54	Cletus Spuckler	13
55	Peter Griffin	1
56	Lenny Leonard	18
57	Waylon Smithers, Jr.	9
58	Louie	6
59	Marge Simpson	22
60	The Rich Texan	7
61	Roy Snyder	3
62	Joe Quimby	9
63	Herman Hermann	5
64	Elizabeth Hoover	6
65	Elvis Costello	1
66	Patty Bouvier	6
67	Lenny Kravitz	1
68	Tom Petty	1
69	Larry Burns	1
70	Mick Jagger	1
71	Keith Richards	1
72	Old Jewish man	6
73	Mayor's bodyguard	1
74	Brian Setzer	1
75	Kenny Loggins	1
76	Allison Taylor	1
77	M.C. Safety	1
78	Sherri Mackleberry	7
79	Melissa	1
80	Jimbo Jones	9
81	Black weasel	2
82	Bender Rodr�guez	1
83	Milhouse Van Houten	15
84	Snowball II	6
85	Martin Prince, Jr.	7
86	Kevin	1
87	Janey Powell	3
88	M.C. Safety and the Caution Crew	1
89	Ralph Wiggum	7
90	Ashley	1
91	Pikachu	1
92	Todd Flanders	10
93	Rod Flanders	11
94	Lewis Clark	6
95	Database	3
96	Wendell Borton	5
97	Becky	2
98	Nelson Muntz	11
99	Richard	5
100	Kyle	1
101	No Risk	1
102	Terri Mackleberry	7
103	Capital City Goofball	1
104	Audrey McConnell	1
105	Morgan	1
106	Mary Bailey	1
107	Helen Lovejoy	6
108	Dolph Starbeam	5
109	Stampy	1
110	Mr. Teeny	5
111	Larry Kidkill	1
112	Cookie Kwan	3
113	Angelo	1
114	Robin	1
115	Bernice Hibbert	6
116	Gay Latino man	1
117	Lindsey Naegle	4
118	Sideshow Mel	6
119	Drederick Tatum	3
120	George H. W. Bush	2
121	Nick Riviera	5
122	Jimmy Carter	1
123	Dr. Velimirovic	1
124	Bill Clinton	1
125	Batman	1
126	Chief O'Hara	1
127	Kiki Highsmith	1
128	Dia-Betty	2
129	Kearney Zzyzwicz	8
130	Luigi Risotto	3
131	Kozlov	1
132	Gummy Sue Spuckler	1
133	Squiggy	1
134	Larry Holmes	1
135	Buster Brown	1
136	Santa's Little Helper	6
137	Jeremy	1
138	Jake	1
139	Stephen Hawking	1
140	Jesus Christ	2
141	Yes Guy	2
142	Sideshow Bob	1
143	Doris	1
144	Frank Grimes	2
145	Duffman	2
146	Frank Grimes, Jr.	1
147	Timothy Lovejoy	3
148	‎Julio Estudiante	1
149	Smug girl	2
150	George Meyer	1
151	Gil Gunderson	3
152	Kang	2
153	‎Pam Dawber	1
154	Surly Duff	1
155	Long haired girl	2
156	Sophie Jensen	1
157	Osama bin Rotten	1
158	Little Richard	1
159	Dog	1
160	Girl with glasses	1
161	Uncle Slam	1
162	Martha Prince	5
163	Kodos	2
164	Waylon Smithers	3
165	Mr. Dalrymple	1
166	The Flying Giuseppe	1
167	Kenny	1
168	Dexter Colt	1
169	Snow White	1
170	Sam	5
171	Mervin Monroe	1
172	Charlie	1
173	Mugger	1
174	Arnie Pye	1
175	Blue-haired lawyer	4
176	Larry H. Lawyer, Jr.	1
177	Yale man	1
178	God	1
179	Gautama Buddha	1
180	Fung Pang-Li	1
181	Squeaky-voiced teen	3
182	Lisa Leslie	1
183	Colonel Sanders	1
184	Johnny Bench	1
185	Swish	1
186	Best Way Linen Supply	1
187	Mayo Clinic doctor	1
188	Uwa	1
189	Rubella Scabies Spuckler	1
190	Walter Cronkite	1
191	Constance Harm	1
192	Tony Hawk	1
193	Blink-182	1
194	Charles Grodin	1
195	Ribhead	1
196	Samantha Stankey	1
197	Alex	1
198	Sun Moon	1
199	‎Ray Romano	1
200	George Plimpton	1
201	Diego	1
202	Scooby-Doo	1
203	Bob Balaban	1
204	Sara Sloane	1
205	Stinging Red Jellyfish	1
206	Helen Fielding	1
207	Matt Groening	1
208	James L. Brooks	1
209	couch gag	1
210	Itchy	2
211	Horace Wilcox	1
212	Walter Mondale	1
213	Moe Howard	1
214	Curly Howard	1
215	John Armstrong	1
216	Count Dracula	1
217	Miss Springfield	2
218	Larry Fine	1
219	Fernando	1
220	Johnny Tightlips	3
221	Chairman Hayes	1
222	Robber	1
223	Eddie Murphy	1
224	Meathook	1
225	Jimmy the Scumbag	1
226	Congressman Beauregard	1
227	Bob Dole	1
228	Scratchy	2
229	‎Esteban Yan	1
230	Male researcher	1
231	The Big Bopper	1
232	Female researcher	1
233	Sardonicus	1
234	Stark Richdale	1
235	Tomokazu Ohka	1
236	Ham	1
237	Declan Desmond	1
238	E-mail	1
239	Buck-toothed girl	1
240	Yellow weasel	1
241	Andy	1
242	Cosine	1
243	Artimus Deadly	1
244	Martin Prince	2
245	Adrian	1
246	Buck-toothed boy	1
247	Jimmy the Snitch	1
248	Jaffee	1
249	Jebediah Springfield	1
250	Tom Hayden	1
251	James Taylor	1
252	Grady	1
253	Cub Scout Troop Number 102	1
254	Stuart	1
255	Julio	1
256	Curly Washburn	1
257	"Weird Al" Yankovic	1
258	The Rolling Stones	1
259	Franz Schubert	1
260	Karen	1
261	Actor	1
262	Hyman Krustofsky	2
263	Luke Stetson	1
264	Cookie	1
265	David Byrne	1
266	The Stooped-Over Fiddler	1
267	Clara Stetson	1
268	Cleanie	1
269	Howard K. Duff VII	1
270	Les	1
271	Dave Shutton	2
272	Wink	1
273	Rin Tin Tin	1
274	Singing railroad hobo	1
275	Duff McShark	1
276	Amber Simpson	1
277	The Hole in the Underwear Gang	1
278	Titania	1
279	Martha Quimby	1
280	Martha Wilson	1
281	Dr. Brentano	1
282	Jackson Browne	1
283	Don Brodka	1
284	Judge Constance Harm	1
285	Steve Buscemi	1
286	George Wilson	1
287	Cosine Tangent	1
288	Pyro	1
289	O.J. Simpson	1
290	Yoko Ono	1
291	Jim Proudfoot	1
292	Mother Teresa	1
293	Jaffee Ziswhisky	1
294	Emilio Barzini	1
295	Lionel Hutz	1
296	Anoop Nahasapeemapetilon	1
297	Don Castellaneta	1
298	Moe Greene	1
299	Annie Hall	1
300	Hobo	1
301	Salvatore Tessio	1
302	Jack Marley	1
303	Troy McClure	1
304	Vito Corleone	1
305	Elmo	1
306	Princess Kashmir	1
