Id	Label	Size
1	Ross Perot	1
2	Hugo Simpson	1
3	Kent Brockman	18
4	Maggie Simpson	23
5	Lyndon LaRouche	2
6	Marge Simpson	25
7	Pigeon-Rat	1
8	Bart Simpson	25
9	Bob Dole	1
10	Martin Prince	5
11	Kang	2
12	Groundskeeper Willie	12
13	Dr. Hibbert	1
14	Principal Skinner	1
15	Bill Clinton	1
16	Kodos	2
17	Lisa Simpson	25
18	Homer Simpson	25
19	Clancy Wiggum	19
20	Lewis Clark	3
21	Jonathan Frink	8
22	Gary	2
23	Terri Mackleberry	5
24	Apu Nahasapeemapetilon	12
25	Moe Szyslak	18
26	Krusty the Clown	12
27	Milhouse Van Houten	15
28	Agnes Skinner	9
29	Gordy	1
30	Nelson Muntz	10
31	Sam	9
32	Seymour Skinner	13
33	Warren	1
34	Nick Riviera	8
35	Crystal	1
36	Larry	10
37	Santa's Little Helper	8
38	Bumblebee Man	7
39	Joe Quimby	7
40	Mr. Doyle	1
41	Blue-haired lawyer	4
42	Hank Scorpio	1
43	Mr. Bont	1
44	Dot	1
45	Miss Goodthighs	1
46	Horatio McCallister	6
47	Julius Hibbert	15
48	Melvin	1
49	Barney Gumble	17
50	Charles Montgomery Burns	15
51	Ned Flanders	14
52	Gary Chalmers	8
53	Comic Book Guy	7
54	Otto Mann	10
55	Mayor Quimby's body guards	1
56	Timothy Lovejoy, Jr.	10
57	Wendell Borton	4
58	Sherri Mackleberry	5
59	Sideshow Mel	5
60	Waylon Smithers, Jr.	12
61	Snake Jailbird	5
62	Charlie Sheen	1
63	Jim Simpson	1
64	Selma Bouvier	8
65	Boxcar Fred	1
66	Patty Bouvier	7
67	Boxcar Bob	1
68	Silas Simpson	1
69	Jimbo Jones	10
70	Mr. Zzyzwicz	1
71	Rafael	3
72	Fat Tony	5
73	Waylon Smithers	3
74	Switchyard Sullivan	1
75	Jaffee	2
76	Lenny Leonard	17
77	Lucius Sweet	1
78	Drederick Tatum	1
79	Fan Man	1
80	Kearney Zzyzwicz	12
81	Michael Buffer	1
82	Jasper Beardly	11
83	Abraham Simpson	14
84	Carl Carlson	14
85	Richard	3
86	Rainier Wolfcastle	4
87	Lewis Jackson	3
88	Handsome Pete	1
89	Hans Moleman	10
90	Kirk Van Houten	9
91	Maude Flanders	10
92	Lou	11
93	Disco Stu	3
94	Rod Flanders	5
95	Yale man	1
96	Professor Frink	1
97	Todd Flanders	5
98	Janitor	1
99	Alice Glick	7
100	Mimsy Bancroft	1
101	Randy	1
102	Elizabeth Hoover	9
103	Eddie	9
104	Edna Krabappel	10
105	Luann Van Houten	8
106	Jim Reardon	1
107	Admiral Carstairs	1
108	Débutante	1
109	Lionel Hutz	6
110	Dink	1
111	Dowager	1
112	Lily Bancroft	1
113	Yale woman	1
114	Herman Hermann	6
115	Larry Burns	1
116	Jacqueline Bouvier	2
117	Very tall man	2
118	Bernice Hibbert	7
119	Lunchlady Dora	5
120	Cletus Spuckler	3
121	Martha Prince	4
122	Brandine Del Roy	1
123	Snowball II	7
124	Martha Quimby	1
125	Sanjay Nahasapeemapetilon	4
126	The Rich Texan	1
127	Belle	1
128	Dave Shutton	2
129	Ms. Albright	1
130	Dewey Largo	6
131	Timothy Lovejoy, Sr.	1
132	Old Jewish man	5
133	Scratchy	4
134	Martin Prince, Sr.	5
135	Ruth Powers	6
136	Dolph Starbeam	5
137	Martin Prince, Jr.	3
138	Itchy	5
139	Helen Lovejoy	8
140	Princess Kashmir	3
141	Sarah Wiggum	7
142	Ralph Wiggum	12
143	Kearney, Jr.	1
144	Armando	1
145	Shotgun Pete	1
146	Starla	1
147	Pyro	1
148	Üter Zörker	1
149	Lisa and Nelson's children	1
150	Becky	1
151	Janey Powell	3
152	The Warden	1
153	Prisoner	1
154	Jay Sherman	1
155	The Happiest Man in Springfield	1
156	Troy McClure	3
157	Bobby Peterson	1
158	Lucille Botzcowski	2
159	Dr. Foster	1
160	Nedward Flanders, Sr.	1
161	Mrs. Foster	1
162	John Swartzwelder	1
163	Dick Tracy	1
164	Mona Flanders	1
165	Dr. Nick Riviera	1
166	Pope	1
167	Tortoise	1
168	Spirit guide	1
169	Dana Scully	1
170	Chewbacca	1
171	Gort	1
172	ALF	1
173	Fox Mulder	1
174	Phil	1
175	J. Edgar Hoover	1
176	Spock	1
177	Leonard Nimoy	1
178	alien	1
179	Shamu	1
180	Donkey Kong	1
181	Marvin the Martian	1
182	Squeaky-voiced teen	1
183	Spuckler children	1
184	Louie	3
185	Whitey Ford	1
186	Mindy Simmons	1
187	Yukio	1
188	Investo the Robot	1
189	Royce McCutcheon	1
190	Christopher	1
191	Legs	2
192	El Bombastico	1
193	Wesley Spuckler	1
194	Cassidy Spuckler	1
195	Hiroshi	1
196	Frank Ormand	1
197	Yakuza	1
198	Ranger	1
199	Charlie	4
200	Zutroy	1
201	Drunk	1
202	Mohandas Karamchand Gandhi	2
203	Samuel Morse	1
204	Ranger McFadden	1
205	Springfield Nuclear Power Plant employee (Homer's Odyssey)	2
206	Hosey the Bear	1
207	Bleeding Gums Murphy	1
208	Shary Bobbins	1
209	Bernard Fife	1
210	Mrs. Pennyfeather	1
211	Betty Ford	1
212	Charles Bronson	1
213	Gerald Ford	2
214	Mrs. Pennywinkle	1
215	Quentin Tarantino	1
216	Andy Griffith	1
217	Melvin Van Horne	3
218	Poochie	1
219	Roger Meyers, Jr.	1
220	Mr. Teeny	1
221	Lindsey Naegle	1
222	Bill Oakley	1
223	June Bellamy	1
224	Doug	1
225	George Meyer	1
226	Melissa	2
227	David Cohen	1
228	Benjamin	1
229	Database	2
230	Roy	1
231	Roscoe	1
232	Jacqueline Kennedy Onassis	1
233	Lupe Vélez	1
234	Blitzen	1
235	John	1
236	Cecil Terwilliger	1
237	Geech	1
238	deleted scene	1
239	Lois Pennycandy	1
240	Merl	1
241	Sideshow Bob	1
242	Doris Freedman	1
243	Timothy Lovejoy	2
244	Blinky	1
245	Jack Marley	2
246	Sandwich delivery guy	1
247	Leo	1
248	Adrian	1
249	"Just stamp the ticket" man	3
250	Mrs. Albright	1
251	Yellow weasel	2
252	Springfield Cable employee	1
253	Rex Banner	1
254	Black weasel	1
255	Howard	1
256	Pahusacheta Nahasapeemapetilon	1
257	Mathemagician	1
258	Reverend Lovejoy	2
259	Krusty	1
260	Tom Berenger	1
261	Laddie	1
262	Gerald Samson	1
263	Mr. Mitchell	1
264	Mrs. Samson	1
265	Lumley	1
266	Polly	1
267	Jessica	1
268	Jeremy Freedman	1
269	Senior Dance Instructor	1
270	Bret Hart	1
271	Hippie	1
272	Julius Hibbert's son	1
273	Julius Hibbert's daughter	1
274	Girl with glasses	1
275	Saint Bartholomew	1
276	Mr. Snookums	1
277	Akira	1
278	Donny	1
279	Mr. Sparkle	1
280	The Smashing Pumpkins	1
281	Frank Grimes	1
282	David Crosby	1
283	The Springfield Baggy-Pants Players	1
284	Ozmodiar	1
285	"Lisa Simpson"	1
286	John Winslow	1
287	Roy Snyder	1
288	Big Daddy	1
289	Tim Conway	1
290	The Jeffersons	1
291	The Waylon Smithers dancers	1
292	Franklin	1
293	Jasper Beardley	1
294	Retirement Castle nurse	1
295	Platt	1
296	Johnny Welfare	1
297	The Commandant	1
