Id	Label	Size
1	Sheen-Estevez clan	1
2	Cletus Spuckler	13
3	Clancy Wiggum	15
4	Old Man Wellbottom	1
5	Don Pardo	1
6	Jimbo Jones	12
7	Oscar the Grouch	1
8	Andy Williams	1
9	Timothy Lovejoy, Jr.	9
10	Moe Szyslak	19
11	J. J. Hunsecker	1
12	Angry audience member	1
13	T. Bickle	1
14	Jamaican musician	1
15	Jenny	1
16	Crazy Cat Lady	5
17	New York City thief	1
18	Al Roker	2
19	New York City police officer	1
20	Burly	2
21	Romeo and Juliet production crew member	1
22	Home swapper	1
23	Brandine Del Roy	10
24	God	3
25	Sideshow Mel	8
26	Jessica Lovejoy	4
27	ABBA	1
28	Kirk Van Houten	17
29	Mary Zeke Spuckler	1
30	Darcy and Jimbo's child	1
31	Fievel Mousekewitz	1
32	Dubya Spuckler	4
33	Sideshow Bob	4
34	Marge Simpson	22
35	Helen Lovejoy	13
36	Mary Spuckler	2
37	Naked Cowboy	1
38	Mary Not-Quite-Right Spuckler	1
39	Joe Quimby	9
40	Señora Bumblebee Man	2
41	Street guitarist	1
42	Scab Calloway	1
43	Audience member	1
44	Julius Hibbert	18
45	Nora Ephron	1
46	Homer Simpson	22
47	Rudy Giuliani	1
48	Woody Allen	2
49	Khlav Kalash vendor	1
50	Milhouse Van Houten	19
51	Broadway show employee	1
52	Albert Einstein	1
53	Gina Vendetti	1
54	Krusty the Clown	14
55	Bernice Hibbert	10
56	Charlie Sheen	1
57	Spike Lee	1
58	Posh actor	1
59	H. Golightly	1
60	Ned Flanders	15
61	Baldwin brothers	1
62	Jimmy	1
63	Kent Brockman	12
64	Bart Simpson	21
65	Taxi driver	1
66	Home swapper's wife	1
67	Darcy	1
68	William Shakespeare	1
69	Ken Burns	1
70	Lisa Simpson	22
71	Nikki McKenna	1
72	Selma Bouvier	13
73	Souvenir salesman	1
74	Maggie Simpson	21
75	Edna Krabappel	12
76	Sherri Mackleberry	12
77	Lenny Leonard	19
78	Santa's Little Helper	10
79	James Bond	1
80	Seymour Skinner	14
81	Waylon Smithers, Jr.	5
82	Glutton	1
83	Wendell Borton	9
84	Richard	8
85	Astrid Weller	1
86	Mayan gods	1
87	Harlan Dondelinger	1
88	Drederick Tatum	3
89	Snake Jailbird	4
90	Kodos	1
91	Gil Gunderson	9
92	Groundskeeper Willie	8
93	Ruth Powers	7
94	Louie	2
95	Artie Ziff	1
96	Larry	7
97	Hyman Krustofsky	4
98	Jonathan Frink	12
99	Martha Prince	6
100	Sarah Wiggum	9
101	Bartie Ziff	1
102	Patty Bouvier	12
103	Radioactive Man	2
104	Manjula Nahasapeemapetilon	7
105	Elizabeth Hoover	10
106	Mayans	1
107	Agnes Skinner	10
108	Itchy	3
109	Squeaky-voiced teen	5
110	Sam	7
111	Eddie	4
112	Charles Montgomery Burns	8
113	George Lucas	1
114	Sanjay Nahasapeemapetilon	2
115	Kang	1
116	Richard Dreyfuss	1
117	Disco Stu	7
118	Terri Mackleberry	12
119	Ralph Wiggum	15
120	Lou	11
121	Carl Carlson	18
122	Martin Prince, Sr.	9
123	Gary Chalmers	11
124	Lindsey Naegle	9
125	Moe-looking Satan	1
126	Nick Riviera	3
127	Akira	4
128	Otto Mann	12
129	Estelle	1
130	Horatio McCallister	9
131	Scratchy	3
132	Comic Book Guy	10
133	Apu Nahasapeemapetilon	16
134	Rafael	8
135	Barney Gumble	15
136	Libby	1
137	Kearney Zzyzwicz	11
138	Old Jewish man	8
139	Glutton's wife	1
140	Black hole aliens	1
141	Bumblebee Man	6
142	Nelson Muntz	13
143	Jebediah Springfield	4
144	Lunchlady Dora	5
145	Luann Van Houten	15
146	Frankie the Squealer	2
147	Cookie Kwan	6
148	Crazy iguana lady	1
149	Blue-haired lawyer	5
150	Rainier Wolfcastle	5
151	Dewey Largo	8
152	Hans Moleman	8
153	Fat Tony	4
154	Snowball V	4
155	Mayan priest	1
156	Jeff Gordon	1
157	Lord Evilton	1
158	Principal Milgram	1
159	Zander's father	1
160	Stan	1
161	Girl with glasses	5
162	Shiva	1
163	Thad Supersperm	1
164	Angelica Button	2
165	Father Mike	1
166	Martin Prince, Jr.	7
167	Paul Bunyan	1
168	Zander	1
169	Boba Fett	1
170	Springfield Retirement Castle receptionist	1
171	Vandersniff & Whiffly Purveyors of Fine Nostrilables owner	1
172	Motorcyclist	1
173	Fonzie	1
174	Duffman	5
175	Lewis Clark	8
176	Rita LaFleur	1
177	Spiro Papadapaconstantikasgianopolopodopotopolis	1
178	Rich Texan	2
179	Kermit the Frog	1
180	Springfield Retirement Castle manager	1
181	Roy Snyder	2
182	Kidnapper	1
183	Meathook	1
184	Kenny Rogers	1
185	Jaffee	6
186	Abraham Simpson	17
187	Buck-toothed boy	3
188	Bleeding Gums Murphy	2
189	Chester Dupree	1
190	Charles Manson	1
191	Nude homeless man	1
192	Marvin Hamlisch	1
193	Chucky	2
194	Gulp 'N' Blow employee	1
195	Roberto Deniro	1
196	Ramrod	1
197	Jennifer Tilly	1
198	Complaining customer	1
199	Todd Flanders	7
200	Johnny Tightlips	1
201	Justin Bieber	2
202	Boy with shades	3
203	John Lennon	1
204	Dan Gillick	1
205	Legs	1
206	Herman Hermann	5
207	Holy Rollers	1
208	Database	4
209	Luigi Risotto	2
210	Janey Powell	9
211	Paul McCartney	1
212	Sophie Jensen	3
213	Üter Zörker	3
214	Long haired girl	3
215	Charlie	5
216	The Parson	2
217	Grady	4
218	Phony McRing-Ring	1
219	Gheet Nahasapeemapetilon	1
220	Anoop Nahasapeemapetilon	1
221	Cregg Demon	1
222	Poonam Nahasapeemapetilon	1
223	Rollie Fingers	1
224	Sashi Nahasapeemapetilon	1
225	Nabendu Nahasapeemapetilon	1
226	Funzo	1
227	Mr. Sparkle	1
228	Malibu Stacy	1
229	Steroid Santa Claus	1
230	Sandeep Nahasapeemapetilon	1
231	Pria Nahasapeemapetilon	1
232	Señor Chongo	1
233	Arnie Pye	4
234	Uma Nahasapeemapetilon	1
235	Lenny Dykstra	1
236	Jitney Spuckler	2
237	Bubbles	1
238	Flushie	1
239	George Plimpton	1
240	Mina bin Laden	1
241	The Grumple	1
242	Mrs. Muntz	7
243	Tom Selleck	1
244	Mr. Teeny	5
245	Julius Pringles	1
246	Bar drunk	1
247	Bob Hope	1
248	Bashir bin Laden	1
249	Jeanette and Cheryl	1
250	Hot dog commentator	1
251	Amid bin Laden	1
252	Sonny Bono	1
253	Steve Mobbs	1
254	Whitney Spuckler	3
255	Mickey Mouse	1
256	Dolph Starbeam	10
257	Terrence	1
258	Melissa	7
259	Strawberry	1
260	Emily	1
261	Flirting woman	1
262	The Decemberists	1
263	Rod Flanders	6
264	Melvin Van Horne	4
265	Boy with bangs	4
