Id	Label	Size
1	Sam	7
2	Dewey Largo	2
3	Clancy Wiggum	15
4	Apu Nahasapeemapetilon	12
5	Moe Szyslak	14
6	Santa's Little Helper	6
7	Terri Mackleberry	14
8	Tito Puente	3
9	Carl Carlson	11
10	Snowball II	2
11	Otto Mann	11
12	Maggie Simpson	24
13	Edna Krabappel	9
14	Krusty the Clown	13
15	Waylon Smithers, Jr.	12
16	Dave Shutton	2
17	Jasper Beardly	9
18	Seymour Skinner	16
19	Elizabeth Hoover	7
20	Charles Montgomery Burns	14
21	Homer Simpson	25
22	Barney Gumble	11
23	Jimbo Jones	8
24	Abraham Simpson	15
25	Lenny Leonard	9
26	Groundskeeper Willie	11
27	Squeaky-voiced teen	7
28	Nelson Muntz	14
29	Sideshow Mel	5
30	Timothy Lovejoy, Jr.	12
31	Horatio McCallister	4
32	Marge Simpson	25
33	Doctor Colossus	1
34	Lunchlady Dora	6
35	Sherri Mackleberry	13
36	Bart Simpson	25
37	Larry	6
38	Lou	10
39	Eddie	8
40	Gulliver Dark	1
41	Kent Brockman	14
42	Gary Chalmers	4
43	Snake Jailbird	6
44	Lisa Simpson	24
45	Nick Riviera	5
46	Hans Moleman	6
47	Joe Quimby	9
48	Ralph Wiggum	10
49	The Scoutmaster	1
50	Dr. S	1
51	Fallout Boy	1
52	Radioactive Man	1
53	Kirk Van Houten	7
54	Lewis Clark	9
55	Smelly	1
56	Birch Barlow	2
57	Scott Christian	1
58	Mickey Rooney	1
59	Troy McClure	7
60	Dirk Richter	1
61	Rainier Wolfcastle	2
62	Estonian dwarf	1
63	Richard	7
64	Buddy Hodges	1
65	Alfalfa	1
66	Brad Goodman	1
67	Luann Van Houten	6
68	Stacy Lovell	1
69	Milhouse Van Houten	15
70	Female judge	1
71	Ned Flanders	16
72	Brandine Del Roy	3
73	St. Augustine of Hippo	1
74	Pablo Neruda	1
75	Ambrose of Milan	1
76	Cletus Spuckler	5
77	John Swartzwelder	1
78	Girl with glasses	4
79	Agnes Skinner	4
80	Itchy	4
81	Jaffee	3
82	Todd Flanders	6
83	Melissa	5
84	Helen Lovejoy	6
85	Long haired girl	4
86	Sophie Jensen	4
87	Wendell Borton	8
88	Artaxerxes	1
89	Maude Flanders	9
90	Scratchy	5
91	Don Vittorio DiMaggio	1
92	Rod Flanders	6
93	Springfield Bentley employee	1
94	Shoshanna	1
95	Helen Feesh	1
96	Mrs. Clark	1
97	Mrs. Mackleberry	1
98	Grandma Van Houten	1
99	Bernice Hibbert	4
100	Annex Administrator	1
101	Comic Book Guy	9
102	Julius Hibbert	12
103	The raving derelict	1
104	Martin Prince, Jr.	7
105	Patty Bouvier	8
106	Black weasel	2
107	Becky	2
108	Linda McCartney	1
109	Janey Powell	7
110	Paul McCartney	1
111	Yellow weasel	2
112	Ham	1
113	Jimmy	1
114	Thistlewick Flanders	1
115	Selma Bouvier	9
116	José Flanders	1
117	Stephen Hawking	1
118	Paul Anka	1
119	Jonathan Frink	3
120	Lard Lad	1
121	Buck-toothed boy	4
122	Kearney Zzyzwicz	5
123	Pauly Shore	1
124	Dolph Starbeam	3
125	Lowblow	1
126	Telephone operator	1
127	Charlie	3
128	Joey Crusher	1
129	Faye Dunaway	1
130	Arnie Pye	3
131	Sherlock Holmes	1
132	Classy pig	1
133	Rafael	2
134	Bill Gannon	1
135	Joe Namath	1
136	Joe Friday	1
137	Mona Simpson	2
138	Johnny Unitas	1
139	City worker	1
140	Bumblebee Man	5
141	The Doctor	1
142	Martin Prince	4
143	Stingy	1
144	Sideshow Bob	2
145	Battery	1
146	Tanya	1
147	Leslie Hapablap	1
148	E-mail	1
149	Rupert Murdoch	1
150	Cosine Tangent	1
151	Professor Gas Can	1
152	Herman Hermann	4
153	Linus Irving	1
154	Matt Groening	1
155	James Bond	1
156	Robotic Richard Simmons	1
157	Princess Kashmir	3
158	Buzz Aldrin	1
159	Lawrence Pierce	1
160	Bleeding Gums Murphy	1
161	The Rich Texan	1
162	Lionel Hutz	5
163	Jacqueline Bouvier	2
164	Adolf Hitler	1
165	Marvin Monroe	1
166	Sam Simon	1
167	Race Banyon	1
168	James L. Brooks	1
169	Ashley Grant	1
170	Sonic the Hedgehog	1
171	Tom Landry	1
172	Luigi	1
173	Xoxchitla	1
174	Donkey Kong	1
175	Don Brodka	2
176	Gavin	1
177	Mario	1
178	Gavin's mother	1
179	Lee Carvallo	1
180	Lurleen Lumpkin	2
181	Freddy Quimby	1
182	Al Gumble	1
183	Jacques	1
184	Mindy Simmons	1
185	Luigi Risotto	2
186	Bill Clinton	1
187	Mikhail Gorbachev	1
188	Ray Johnson	1
189	Ruhollah Khomeini	1
190	Dick	1
191	Alice Glick	5
192	Ronald Reagan	1
193	Jeb Bush	1
194	George H. W. Bush	1
195	George W. Bush	1
196	Gerald Ford	1
197	Barbara Bush	1
198	Grover Cleveland	1
199	Bob Mosbacher	1
200	Disco Stu	2
201	Agent Heintz	1
202	Helmut Kohl	1
203	Tom Kite	1
204	Brittany Brockman	1
205	Gillian	1
206	Karyn	1
207	Richard Nixon	1
208	Evelyn Peters	1
209	Susan	1
210	Elizabeth	1
211	Patricia	1
212	Roberta	1
213	Ruth Powers	2
214	Tom Stovak	1
215	Kermit	2
216	Corporal Punishment	1
217	Rory B. Bellows	1
218	Rainer Wolfcastle	1
219	Handsome Pete	2
220	Ann Landers	1
221	Hortense Simpson	1
222	Mr. Teeny	3
223	Bob Newhart	1
224	Sanjay Nahasapeemapetilon	2
225	Betsy Ross	1
226	Jebediah Springfield	1
227	Waylon Smithers	1
228	Doris Freedman	1
229	Old Jewish man	1
230	Hollis Hurlbut	1
231	Allison Taylor	2
232	Mr. Winfield	1
233	Sylvia Winfield	1
234	Buck-toothed girl	2
235	George Washington	1
236	Ms. Melon	1
237	Daphne Burns	1
238	Chester J. Lampwick	1
239	Lester	1
240	Eliza	1
241	Roger Meyers, Jr.	1
242	Blue-haired lawyer	1
243	Dinner Dog	1
244	Flatulent Fox	1
245	Manic Mailman	1
246	Rich Uncle Skeleton	1
247	Brown-Nose Bear	1
248	Mr. Zip	1
249	Roy Snyder	1
250	Roger Meyers, Sr.	1
251	Disgruntled Goat	1
252	Huckleberry Hound	1
253	MacArthur Parker	1
254	Barry White	1
255	Louie	2
256	Sting	1
257	Fat Tony	2
258	Elizabeth Taylor	1
259	Lori	1
260	Jub-Jub	1
261	David Crosby	1
262	Dyan Cannon	1
263	Miss Piggy	1
264	Bette Midler	1
265	Leonard Nimoy	1
266	Dr. Zaius	1
267	Adam West	1
268	Martha Prince	1
269	Winnipeg man	1
270	Al Gore	1
271	Martin Prince, Sr.	1
272	Hitchhiker	1
273	Hong Kong doctor	1
274	Airport ticket lady	1
275	Sherri	1
276	Madame	1
277	Dispatcher	1
278	Flipsy	1
279	Waylon Jennings	1
280	Pawnbroker	1
281	Wig store employee	1
282	Langdon Alger	1
283	Oak Ridge nuclear technician	1
284	Andy Williams	1
285	Jake	1
286	Ms. Albright	1
287	Maw	1
288	Sean Connery	1
289	Roger Moore	1
290	Sarah Wiggum	1
291	Leopold	1
292	Señora Bumblebee Man	1
293	Very tall man	1
294	Dr. Colossus	1
295	Üter Zörker	2
296	Capital City Goofball	1
297	Jamice	1
298	Jesse Helms	1
299	Judge Muntz	1
300	Asa Phelps	1
301	Sheldon Skinner	1
302	Arnie Gumble	1
303	Griff McDonald	1
304	Iggy Wiggum	1
305	Etch Westgrin	1
306	Fernando Vidal	1
307	Milton Haas	1
308	Orville J. Simpson	1
309	Bear	1
310	Timothy Lovejoy	1
311	Manjula Nahasapeemapetilon	1
312	Apu Nahasapeemapetilon Sr.	1
313	Yuma Hickman	1
314	Uncle Sam	1
315	Mayor Quimby's body guards	1
316	Tom Cruise	1
317	Apu's mother	1
318	Nicole Kidman	1
319	The Smashing Pumpkins	1
320	London Symphony Orchestra	1
321	Jasper Beardley	1
322	Rover Hendrix	1
323	Sandra	1
324	Shemp Howard	1
325	Music store clerk	1
326	Peter Frampton	1
327	Cypress Hill	1
328	Pink Floyd	1
329	Sonic Youth	1
330	Nina Skalka	1
331	Boy with shades	1
332	Lewis look-alike	1
333	Erin	1
334	Ice cream van instructor	1
335	Ben	1
336	The Mad Hatter	1
337	Li'l Valu-Mart clerk	1
338	Dean	1
339	Rick	1
340	Jessica Lovejoy	1
341	Adrian	1
