Id	Label	Size
1	Photo girl	4
2	Ned Flanders	3
3	Fred	1
4	Daria	1
5	Homer Simpson	13
6	Moe Szyslak	7
7	Barney Gumble	7
8	Mervin Monroe	1
9	Todd Flanders	1
10	Sherri Mackleberry	3
11	Selma Bouvier	5
12	Girl with a headband	2
13	Snowball II	4
14	Hypnotist	1
15	Terri Mackleberry	3
16	Mall Santa boy	1
17	Maggie Simpson	13
18	Cheque giver	1
19	Snowball I	1
20	Jaffee	3
21	Dog O' War	1
22	Springfield Downs boy	1
23	Moldy	2
24	Mall Santa girl	1
25	Christmas pageant girl	1
26	Tiny Tim	1
27	Springfield Downs worker	1
28	Les	1
29	Patty Bouvier	5
30	Wendell Borton	4
31	Brainy	1
32	Dewey Largo	3
33	Milhouse Van Houten	7
34	Whirlwind	1
35	Lewis Clark	8
36	Marge Simpson	13
37	Seymour Skinner	5
38	Charles Montgomery Burns	6
39	Irving Zitsofsky	1
40	Bubbles	3
41	Alfie	1
42	Charlie Brown	1
43	Waylon Smithers, Jr.	6
44	Bart Simpson	13
45	Santa School head	1
46	Chew My Shoe	1
47	Springfield Downs father	1
48	Ralph Wiggum	3
49	Quadruped	1
50	Lisa Simpson	13
51	Fido	1
52	Abraham Simpson	4
53	Santa's Little Helper	2
54	Norman	1
55	Shirley	1
56	Singing girl	1
57	Sydney Swift	1
58	Calvin	1
59	Jane Goodall	1
60	Tanya	1
61	Richard	7
62	Edna Krabappel	3
63	Martin Prince, Jr.	4
64	Ms. Melon	1
65	Albert Einstein	1
66	Ian	1
67	Bullfighter	1
68	Cecile Shapiro	1
69	J. Loren Pyror	2
70	Ethan Foley	2
71	Carmen opera singer	1
72	Ticket bouncer	1
73	Boris Csupowski	1
74	Clancy Wiggum	3
75	Duff Beer advertiser	2
76	Krusty the Clown	4
77	Sherri and Terri's father	1
78	Jasper Beardly	3
79	Sylvia Winfield	3
80	Blinky	1
81	Mr. Winfield	3
82	Springfield Nuclear Power Plant employee	1
83	Supporting guy	1
84	Security guard	1
85	Larry	4
86	Long haired girl	1
87	Otto Mann	4
88	Crystal	2
89	Smilin' Joe Fission	1
90	Sam	4
91	Great son	1
92	Old father	1
93	Eddie	2
94	Great daughter	1
95	Tom Gammel	1
96	Itchy	2
97	Mr. Gammel	1
98	The Happy Little Elves	1
99	Receptionist	1
100	Son	1
101	Lou	2
102	Scratchy	2
103	Troubled son	1
104	Cashier	1
105	Troubled mom	1
106	Great dad	1
107	Lenny Leonard	4
108	Bobo	1
109	Great mom	1
110	Joshua and Amber's mother	1
111	Bold family	1
112	Marvin Monroe	3
113	Troubled dad	1
114	Reformed dad	1
115	Springfield Nuclear Power Plant wife	1
116	Coward	4
117	Jamie	1
118	Becky	1
119	Black weasel	1
120	Nelson Muntz	1
121	Retirement Castle adminstrator	1
122	Herman Hermann	1
123	Sailor boy	1
124	Freddy	3
125	Old Jewish Man	1
126	Yellow weasel	1
127	Melissa	2
128	Ralph	1
129	White boy	1
130	Springfield Elementary School Band	1
131	Brunella Pommelhorst	1
132	Jacqueline Bouvier	1
133	Ms. Barr	1
134	Bleeding Gums Murphy	2
135	Arcade boy	1
136	Howard's mom	1
137	Arcade cashier	1
138	Janey Powell	2
139	Howard	1
140	Johnson	1
