Id	Label	Size
259	Sherlock Holmes	1
260	Jaffee	1
261	Mona Flanders	1
262	Leopold	1
263	Freddy	1
264	Sophie Jensen	1
265	Luigi Risotto	1
266	Lunchlady Dora	1
267	Lewis look-alike	1
268	Karl	1
269	Bold son	1
270	Billy	1
271	Colette	1
272	Mary Bailey	1
273	Female judge	1
274	Freddy Quimby	1
275	Authur Simpson	1
276	Mr. Lacost	1
277	Roger Meyers, Jr.	1
278	Jacqueline Bouvier	1
279	Dorothy	1
280	Snagglepuss	1
281	Princess Kashmir	1
282	Annex administrator	1
283	Melvin Van Horne	1
