Id	Label	Size
1	Gary Chalmers	12
2	SendEx employee	1
3	Osama bin Laden	1
4	Victor	1
5	Helen Lovejoy	11
6	Edna Krabappel	10
7	Otto Mann	11
8	Unnamed Ukrainian mobster	1
9	Abraham Simpson	16
10	Kearney Zzyzwicz	15
11	Lenny Leonard	18
12	Bernice Hibbert	10
13	Snake Jailbird	9
14	Moe Szyslak	20
15	Wayne Slater	1
16	Plopper	1
17	Gogo Yubari	1
18	The Penguin	1
19	Waylon Smithers, Jr.	15
20	Ned Flanders	17
21	Sideshow Mel	11
22	Charlie	8
23	Joe Quimby	8
24	Chucky	1
25	Hans Moleman	10
26	Kent Brockman	11
27	Victor's wife	1
28	Charles Montgomery Burns	14
29	Homer Simpson	22
30	Disaster victim	1
31	Manjula Nahasapeemapetilon	7
32	Kobe Bryant	1
33	Lugash	1
34	Itchy	9
35	Wayne Slater's boss	1
36	Marge Simpson	22
37	Comic Book Guy	10
38	Lisa Simpson	22
39	Dolph Starbeam	15
40	Seymour Skinner	18
41	The Grumple	2
42	Carl Carlson	17
43	Patty Bouvier	11
44	Selma Bouvier	11
45	Pinhead	1
46	Milhouse Van Houten	17
47	Maggie Simpson	20
48	Larry	11
49	Daphne Burns	1
50	Barney Gumble	14
51	Miss Springfield	3
52	Everyman	1
53	Sam	6
54	Poochie	2
55	Tom Colicchio	2
56	Julius Hibbert	14
57	Blinky	3
58	Agnes Skinner	13
59	Bart Simpson	22
60	Candy Kevin	1
61	Scratchy	9
62	Jimbo Jones	16
63	Kim Jong-il	1
64	Timothy Lovejoy, Jr.	12
65	Clancy Wiggum	19
66	Robot	1
67	Springfield Elementary School Band	1
68	Herbert Hoover	1
69	Dewey Largo	10
70	Richard M. Nixon	1
71	Elizabeth Hoover	10
72	Janey Powell	7
73	Lewis Clark	9
74	Gerald Ford	1
75	Harry S. Truman	1
76	James Madison	2
77	Sherri Mackleberry	10
78	Theodore Roosevelt	1
79	Woodrow Wilson	1
80	Zachary Taylor	1
81	John F. Kennedy	1
82	Akira	3
83	Rutherford B. Hayes	1
84	William Howard Taft	1
85	Martin Van Buren	1
86	Madison McKenna	1
87	Mrs. Muntz	7
88	Lyndon B. Johnson	1
89	Brody McKenna	1
90	Sherri and Terri's mother	3
91	James Buchanan	1
92	James A. Garfield	1
93	Database	6
94	Ronald Reagan	2
95	Cletus Spuckler	14
96	Martin Prince, Sr.	8
97	Julius Hibbert's son	1
98	Horatio McCallister	8
99	Benjamin Harrison	1
100	James Monroe	1
101	Ulysses S. Grant	1
102	Todd Flanders	5
103	Franklin D. Roosevelt	1
104	Kirk Van Houten	10
105	Lunchlady Dora	7
106	Sherri and Terri's father	2
107	John Adams	1
108	George W. Bush	1
109	Sarah Wiggum	7
110	Dorothy Gale	1
111	Rainier Wolfcastle	5
112	Arnie Pye	5
113	The Brotherhood of the Spectacles	1
114	Barack Obama	2
115	Abraham Lincoln	1
116	Rosemary Chalmers	1
117	George Washington	1
118	Bill Clinton	1
119	Coach Krupt	1
120	William Henry Harrison	1
121	Nelson Muntz	12
122	Andrew Jackson	1
123	Krusty the Clown	14
124	Dwight D. Eisenhower	1
125	Groundskeeper Willie	9
126	Martin Prince, Jr.	9
127	William McKinley	1
128	Thomas Jefferson	2
129	Calvin Coolidge	1
130	John Quincy Adams	1
131	Lou	11
132	Wendell Borton	9
133	John Tyler	1
134	Millard Fillmore	1
135	The Fight Club	1
136	Jimmy Carter	1
137	Charlie's son	1
138	Bear	1
139	Luann Van Houten	12
140	John Flammang Schrank	1
141	Brandine Del Roy	12
142	Nikki McKenna	1
143	George H. W. Bush	1
144	Mr. Borton	3
145	Grover Cleveland	1
146	Terri Mackleberry	10
147	Franklin Pierce	1
148	Andrew Johnson	1
149	Myra	1
150	Chester A. Arthur	1
151	State Comptroller Atkins	1
152	Warren G. Harding	1
153	James K. Polk	1
154	Ralph Wiggum	10
155	Sideshow Bob	4
156	Kodos	1
157	Maude Flanders	3
158	Hyman Krustofsky	4
159	Devil	4
160	Fyodor Dostoyevsky	1
161	Rigellian queen	1
162	Eddie	8
163	Kang	1
164	Crazy Cat Lady	5
165	God	2
166	Apu Nahasapeemapetilon	15
167	Gerald Samson	1
168	Kamala	1
169	Snowball V	4
170	Howard, Jr.	1
171	Martha Prince	7
172	Jasper Beardly	10
173	Black weasel	1
174	Ingrice	1
175	Santa's Little Helper	8
176	Richard	8
177	Girl with glasses	2
178	Puppy Goo-Goo	2
179	Doug	1
180	Üter Zörker	3
181	Smilin' Joe Fission	1
182	Alice Glick	3
183	Darth Vader	1
184	Hazel	1
185	Jesus	1
186	Jonathan Frink, Jr.	2
187	Old Jewish Man	6
188	Adrian	1
189	Miss Wyoming	2
190	Melissa	5
191	Jaffee	3
192	Roz Davis	1
193	Paul Flart	1
194	Boy with shades	1
195	George Jetson	1
196	Rosie the Robot Maid	1
197	Gary	2
198	Nick Riviera	2
199	Benjamin	1
200	Jitney Spuckler	1
201	Dubya Spuckler	1
202	Rod Flanders	4
203	Gordon Ramsay	1
204	Incest Spuckler	1
205	Colonel Sanders	1
206	Wolfgang Puck	1
207	Whitney Spuckler	1
208	El Chemistri waiter	1
209	Fois Garth	1
210	Edward Cullen	1
211	Anthony Bourdain	1
212	Crystal Meth Spuckler	1
213	Nikola Tesla	1
214	Sean Astin	1
215	Meth lab owner	1
216	Herschel Walker	1
217	Amuse Bruce	1
218	Zack de la Rocha	1
219	Haile Selassie I	1
220	International Harvester Spuckler	1
221	Mario Batali	1
222	The Swedish Chef	1
223	T. R. Francis	1
224	Sashi Nahasapeemapetilon	2
225	Neil Gaiman	1
226	The Rock Bottom Remainders	1
227	Poonam Nahasapeemapetilon	2
228	Muddy Waters	1
229	Anoop Nahasapeemapetilon	2
230	Pria Nahasapeemapetilon	2
231	Rafael	9
232	Sandeep Nahasapeemapetilon	2
