Id	Label	Size
1	Patty Bouvier	9
2	Waylon Smithers, Jr.	10
3	Milhouse Van Houten	10
4	Benjamin Franklin	1
5	Congressman 3	1
6	Ian	1
7	Charles Montgomery Burns	10
8	Terri Mackleberry	3
9	Itchy	4
10	Jasper Beardly	1
11	Abraham Simpson	9
12	Edna Krabappel	6
13	Congressman 1	1
14	Adrian	1
15	Long John Silver	1
16	Barney Gumble	15
17	Timothy Lovejoy, Jr.	8
18	Scratchy	4
19	Wendell Borton	5
20	George Washington	1
21	Lisa Simpson	21
22	Seymour Skinner	6
23	Selma Bouvier	9
24	Homer Simpson	22
25	Lewis Clark	8
26	Bill	2
27	Martin Prince, Jr.	7
28	Snowball II	10
29	Gorilla the Conqueror	1
30	Maggie Simpson	22
31	Clancy Wiggum	3
32	Jebediah Springfield	2
33	Krusty the Clown	6
34	Ms. Phipps	1
35	Helen Lovejoy	5
36	Bart Simpson	22
37	Freddy	1
38	Ms. Melon	1
39	Black weasel	2
40	Richard	7
41	Princess Kashmir	2
42	Jacques	4
43	Coward	1
44	Snow mom	1
45	Howard	3
46	Congressman 2	1
47	Sherri Mackleberry	3
48	J. Loren Pyror	2
49	Nelson Muntz	8
50	Bleeding Gums Murphy	5
51	Yendor	1
52	Moe Szyslak	13
53	Apu Nahasapeemapetilon	7
54	Marge Simpson	22
55	Bart Simpson, Jr.	1
56	Jimbo Jones	5
57	Yellow weasel	2
58	Otto Mann	10
59	Santa's Little Helper	12
60	Joe Quimby	4
61	Sideshow Bob	1
62	Melissa	3
63	Cowboy Bob	1
64	Marty	2
65	Dr. H. Boyle	1
66	Mr. Winfield	3
67	Anniversary singer	1
68	Lenny Leonard	5
69	Executive 1	1
70	Executive 2	1
71	Springfield Nuclear Power Plant employee	1
72	Dimoxinil user	1
73	Al Simmons	1
74	Sexy Assistant	1
75	Carl Carlson	7
76	Charlie	3
77	Sylvia Winfield	5
78	Executive 3	1
79	Karl	1
80	Jake	1
81	Dimoxinil actor	1
82	The Raven	1
83	Mr. Plott	1
84	The Raven Narrator	1
85	Evil House	1
86	Serak the Preparer	1
87	Paul McCartney	1
88	Lenore	1
89	Removalist	1
90	Kodos	1
91	Kang	1
92	Binky	1
93	Mary Bailey	1
94	Dave Shutton	2
95	Hairdresser	1
96	Blinky	1
97	Scott Christian	2
98	Sam	12
99	Larry	9
100	News Reporter	1
101	Chief Inspector	1
102	Phil	2
103	Charles Darwin	1
104	Burns' campaign leader	1
105	Jasper Beardley	6
106	Helen Feesh	1
107	Dave Rosenfield	1
108	Bill McCloskey	1
109	Ned Flanders	10
110	Dave Glass	1
111	Capital City Goofball	1
112	Dan Horde	1
113	Duff Beer vendor	1
114	Mr. Gammill	1
115	Janey Powell	3
116	Richie Sakai	2
117	Antoine Tex O'Hara	1
118	Tony Bennett	1
119	Flash Baylor	1
120	Ms. Norton	1
121	Kearney Zzyzwicz	3
122	Ralph	1
123	Todd Flanders	3
124	Dolph Starbeam	3
125	Rod Flanders	4
126	Maude Flanders	5
127	Mrs. Spencer	1
128	Retirement Castle administrator	1
129	Walsh	1
130	Susan B. Anthony	1
131	Kent Brockman	5
132	Eddie	5
133	Jacqueline Bouvier	2
134	Lou	4
135	Julius Hibbert	10
136	Werner von Brawn	1
137	Don Woodard	1
138	Franz Schubert	1
139	Team Tomomatsu Dirt Riding Dunk Masters	1
140	John Trumane	1
141	Becky	3
142	Dewey Largo	3
143	Superman	1
144	Lance Murdock	1
145	Ms. Monster	1
146	Leo G. Clark	1
147	Rasputin the Friendly Russian	1
148	Roger Meyers Jr.	1
149	Marvin Monroe	2
150	Corporal Punishment	1
151	Sideshow Mel	3
152	Blue-haired lawyer	1
153	Devil	2
154	Hortense Simpson	1
155	Roy Snyder	1
156	Orville J. Simpson	1
157	Snowball I	1
158	Dr. Nick Riviera	1
159	Della	1
160	Lionel Hutz	2
161	Herman Hermann	2
162	Akira	1
163	Toshiro	1
164	Hostess	1
165	Master Sushi Chef	2
166	Marge's friend	1
167	The Larry Davis Experience	1
168	Mr. Seckofsky	1
169	Harlan Dondelinger	1
170	Mrs. Bloomenstein	1
171	Coach Flanagan	1
172	Rainier Wolfcastle	3
173	Clancy Bouvier	1
174	Rafael	1
175	Estelle	1
176	Artie Ziff	1
177	Troy McClure	2
178	Zohar	1
179	Joe Franklin	1
180	Ms. Albright	2
181	Ralph Wiggum	2
182	Moses	1
183	Drederick Tatum	1
184	Homer	1
185	American spy	1
186	Hezron	1
187	Bold family	3
188	Nick Riviera	1
189	Watson	1
190	Groundskeeper Willie	1
191	Hans Moleman	2
192	Stanley Peterson	1
193	Ms. Finch	1
194	Space Mutants	1
195	Jimmy Pearson	1
196	Martha Peterson	1
197	Mona Simpson	1
198	Senator Mendoza	1
199	McBain	2
200	Julius Hibbert's brother	1
201	Herbert Powell	1
202	Pope	1
203	Gaby	1
204	Cookie saleswoman	1
205	Poodle	1
206	Bernice Hibbert	2
207	Emily Winthrop	2
208	Buddy	1
209	Marguerita	2
210	Randi	1
211	Jack	2
212	Father McGrath	1
213	Lucille Botzcowski	1
214	Lao-Tzu	1
215	Waylon Smithers	1
216	Wiseguy	1
217	Timothy Lovejoy	1
218	The Joker	1
219	Old Jewish Man	1
220	Beatrice Simmons	1
221	Jonathan Frink	2
222	Nurse Bronski	1
223	Darth Vader	1
224	Boy with shades	1
225	Cecile Shapiro	1
226	Springfield Nuclear Power Plant wife	1
227	Brittany	1
228	Howard, Sr.	1
229	Bold mother	1
230	Squeaky-voiced teen	1
231	Ringo Starr	1
232	Professor Lombardo	1
233	Elizabeth Hoover	2
234	Jim Reardon	1
235	Mr. Bergstrom	1
236	Buck-toothed boy	1
237	General Sherman	1
238	Gloria S.	1
239	Hypnotist	1
240	Sneed	1
241	Snake Jailbird	1
242	Bold son	1
243	Tanya	1
244	John S.	1
245	Sydney Swift	1
246	Alice Glick	1
247	Buddy Hodges	1
248	Comic Book Guy	1
249	Radioactive Man	1
250	Fallout Boy	1
251	Carl Yastrzemski	1
252	Dirk Richter	1
253	Mayor Quimby's body guards	1
254	Asa	1
255	Female mail carrier	1
256	Sadruddin Mahbaradad	1
257	Archbishop McGee	1
258	Osvaldo	1
259	Mr. Roman	1
260	Joey Crusher	1
