Id	Label	Size
1	Jaffee Ziswhisky	1
2	Lenny Leonard	16
3	Krusty the Clown	13
4	Spider-Man	3
5	Homer Simpson	23
6	Prius Albertson	1
7	Barney Gumble	10
8	Adolf Hitler	1
9	Jonah	1
10	Milhouse Van Houten	17
11	Lisa Simpson	23
12	Bart Simpson	23
13	Tobey Maguire	1
14	Plastic Man	1
15	Gil Gunderson	4
16	Richard	8
17	Everyman	1
18	Lewis look-alike	5
19	Mr. Lacost	1
20	Terri Mackleberry	11
21	Nick Riviera	3
22	Maggie Simpson	22
23	Carl Carlson	16
24	Apu Nahasapeemapetilon	9
25	Buck-toothed boy	5
26	Steve Ditko	1
27	Matt Groening	1
28	Moe Szyslak	17
29	Jonathan Frink	3
30	P. D. Eastman	1
31	Lyle McCarthy	1
32	Sherri Mackleberry	11
33	Nelson Muntz	14
34	Martin Prince, Jr.	7
35	Mr. Teeny	8
36	Avery Mann	1
37	Seymour Skinner	15
38	Fallout Boy	1
39	Comic Book Guy	6
40	Leo	2
41	Iron Man	1
42	Marge Simpson	23
43	Ralph Wiggum	14
44	Oscar	1
45	Lunchlady Dora	3
46	Kearney Zzyzwicz	8
47	Blue-Haired Lawyer	2
48	Lewis Clark	4
49	Rodney Dangerfield	1
50	Kirk Van Houten	8
51	Jack the Ripper	1
52	Scratchy	5
53	Squeaky-voiced teen	3
54	Julius Hibbert	11
55	Dewey Largo	7
56	Groundskeeper Willie	10
57	Hans Moleman	5
58	Ned Flanders	14
59	Santa Claus	2
60	Pat Sajak	1
61	Mrs. Muntz	2
62	Jimbo Jones	7
63	The Guy Who Married Brooke Shields	1
64	Elizabeth Hoover	7
65	Fitness trainer	1
66	Helen Lovejoy	7
67	Hilary Swank	1
68	Itchy	5
69	Janey Powell	7
70	Knights of King Arthur	1
71	Barry Bonds	1
72	Colonel Sanders	1
73	Zachary Vaughn	1
74	Allison Taylor	8
75	Disco Stu	3
76	Wendell Borton	9
77	Edna Krabappel	13
78	Chuck Liddell	1
79	Drederick Tatum	2
80	Chett Englebrick	1
81	Charles Montgomery Burns	13
82	Sideshow Mel	4
83	Bleeding Gums Murphy	1
84	Bernice Hibbert	8
85	Joe Biden	1
86	Fat Tony	3
87	Mohandas Karamchand Gandhi	1
88	Akira	1
89	Luann Van Houten	6
90	Sarah Wiggum	6
91	Jebediah Springfield	3
92	Larry	3
93	Dolph Starbeam	5
94	Arnie Pye	1
95	Otto Mann	8
96	Werewolf's wife	1
97	Mummy	1
98	Joe Quimby	6
99	Manjula Nahasapeemapetilon	5
100	Kodos	1
101	Timothy Lovejoy	1
102	Cookie Kwan	3
103	Lurleen Lumpkin	1
104	Lindsey Naegle	3
105	Gary Chalmers	10
106	Cletus Spuckler	6
107	Waylon Smithers	2
108	Selma Bouvier	7
109	Dracula's wife	1
110	Lewis Jackson	3
111	Kent Brockman	6
112	Lou	9
113	Arsenio Hall	1
114	Todd Flanders	6
115	Rafael	3
116	Dr. J. Loren Pryor	1
117	Jeremy Freedman	3
118	Melvin Van Horne	2
119	Bumblebee Man	2
120	Frankenstein	1
121	Rainier Wolfcastle	3
122	Agnes Skinner	8
123	Werewolf	1
124	Count Dracula	1
125	Melissa	5
126	Muncher Zombies	1
127	Abraham Simpson	9
128	Kang	1
129	Fresh Flowers owner	1
130	Frankenstein's wife	1
131	Rod Flanders	7
132	Brandine Del Roy	6
133	Hubert Wong	1
134	Jaffee	4
135	Martin Prince, Sr.	4
136	Mummy's wife	1
137	Martin Prince	5
138	Snake Jailbird	8
139	Üter Zörker	1
140	Carla Bruni	1
141	Betsy Ross	1
142	Les Rock Stars	1
143	Female researcher	1
144	Eddie	6
145	Tiger Woods	1
146	Julio	1
147	Nicolas Sarkozy	1
148	Clancy Wiggum	12
149	Kevin	3
150	Babe Didrikson Zaharias	1
151	Ted	1
152	Gerald Samson	1
153	Andy Hamilton	1
154	Ling Bouvier	1
155	Judy Blume	1
156	Cassandra	1
157	Court reporter	1
158	Becky	4
159	Lilith	1
160	Blinky	1
161	Roy Snyder	1
162	Esmeralda	1
163	Gwendolyn Nightshadow	1
164	Huell Howser	1
165	Robert Terwilliger	1
166	Eli Manning	1
167	Database	2
168	Peyton Manning	1
169	Mario	1
170	Cooper Manning	1
171	Charlie	1
172	Cecil Terwilliger	1
173	Luigi	1
174	Margaret Mitchell	1
175	Slimu	1
176	Hank Azaria	1
177	Coach Krupt	1
178	Clark Gable	1
179	Marshall Goldman	1
180	Shemp Howard	1
181	Mitch Albom	1
182	Jasper Beardley	1
183	Queen Latifah	1
184	Captain Haddock	1
185	Tintin	1
186	Princess Penelope	1
187	Eartha Kitt	1
188	Neil Armstrong	1
189	Snowy	1
190	Booberella	1
191	Waylon Smithers, Jr.	5
192	Princess Ingrid Alexandra	1
193	Long haired girl	3
194	Smug girl	2
195	Jasper Beardly	1
196	Adrian	3
197	Valerie Simpson	1
198	Dave	1
199	Girl with glasses	4
200	Patty Bouvier	5
201	Sophie Jensen	2
202	Buck-toothed girl	4
203	Mrs. Vanderbilt	2
204	Ricardo Bomba	1
205	Timothy Lovejoy, Jr.	6
206	Boy with shades	2
207	Coldplay	1
208	Old Jewish Man	2
209	Tom Brokaw	1
210	Harry Potter	1
211	Bob Costas	1
212	Sam	4
213	Medicine woman	1
214	Fatov	1
215	Canadian Nelson	1
216	Milhoose	1
217	Horatio McCallister	3
218	Ivan Reitman	1
219	Wilhelmina of Prussia	1
220	Herman Hermann	2
221	Ruth Powers	4
222	Zhang Yimou	1
223	Team USA	1
224	Eliza Simpson	1
225	Colonel Burns	1
226	Bart-Beard the Pirate	1
227	Milford Van Houten	1
228	Abigail Simpson	1
229	Abraham Lincoln	1
230	Santa's Little Helper	4
231	Clancy Bouvier	1
232	Funzo	1
233	Martha	1
234	Hiram Simpson	1
235	Mabel Simpson	1
236	Virgil Simpson	1
237	Maude Flanders	1
238	Ash Ketchum	1
239	Bill	1
240	Mel	1
241	Alice Glick	1
242	Cosine	2
243	Yellow Weasel	2
244	Pikachu	1
245	Junior	1
246	Report Card	1
247	Beast	1
248	Sammy Davis, Jr.	1
249	Tom Powers	1
250	Mary Jane Watson	1
251	Michelle Obama	1
252	Uhura	1
253	Molly Jensen	1
254	Charlton Heston	1
255	Black weasel	1
256	Heathcliff	1
257	Ham	1
258	Norman Thayer Jr.	1
259	EVE	1
260	Milton Warden	1
261	Brody McKenna	1
262	Ethel Thayer	1
263	WALLâ€¢E	1
264	Kitty	1
265	Cathy	1
266	Madison McKenna	1
267	Belle	1
268	Fredo Corleone	1
269	Rhett Butler	1
270	Karen Holmes	1
271	Ellen Ripley	1
272	Sam Wheat	1
273	Scarlett O'Hara	1
274	Nikki McKenna	1
275	Michael Corleone	1
276	Archie Bunker	1
277	Boy with bangs	2
278	Spock	1
279	Bodie	1
280	Audrey McConnell	1
281	Dorit	1
282	Jakob	1
283	Roger Ducette	1
284	Chief Wiggum	1
285	Sideshow Bob	2
286	Burns' cellmate	1
287	Annie	1
288	Doug	1
289	The Stabfour	1
290	Tootsie Childs	1
291	Samantha Stankey	2
292	Ramrod	1
293	Legs	1
294	Louie	1
295	Johnny Tightlips	1
296	Judge Constance Harm	1
297	Bluella	1
298	Linda	1
299	Lars	1
300	Gregory House	1
301	Wind Chimes owner	1
302	Queen Elizabeth II	1
303	Ms. Dubinsky	1
304	Duffman's daughter	1
305	Duffman	1
306	Shauna	1
307	Sharry Bobbins	1
308	Megan	1
309	Miss Springfield	1
310	Nigel Bakerbutcher	1
311	Sally Circle	1
312	Prince Charles	1
313	Renee	2
314	Attila the Hun	1
315	The Hulk	1
316	Gloria	2
317	Uma Nahasapeemapetilon	1
318	Sandeep Nahasapeemapetilon	1
319	Anoop Nahasapeemapetilon	1
320	Jacqueline Bouvier	1
321	Mona Simpson	1
322	Brittany Brockman	1
323	Jeremy Turley	1
324	Spuckler children	1
325	Pria Nahasapeemapetilon	1
326	Leprechaun	1
327	Dave Shutton	1
328	Gheet Nahasapeemapetilon	1
329	Sashi Nahasapeemapetilon	1
330	Jessica Lovejoy	1
331	Nabendu Nahasapeemapetilon	1
332	Poonam Nahasapeemapetilon	1
333	Apu's mother	1
334	Sanjay Nahasapeemapetilon	1
335	The Parson	1
336	Walt Warren	1
337	Ted Flanders	1
338	Severus Snape	1
339	Connie Flanders	1
340	Bonnie Flanders	1
341	Joyce	1
342	Albus Dumbledore	1
343	Professor Lombardo	1
344	Snowball V	1
345	Tab Spangler	1
346	Jesus fish	1
347	Puppy Goo-Goo	1
348	Jay Leno	1
349	Lifeways editor	1
350	Astrid Weller	1
351	Kara DioGuardi	1
352	Ryan Seacrest	1
353	Egor Glumov	1
354	Rupert Murdoch	1
355	â€ŽJimmy	1
356	Randy Jackson	1
357	Chazz Busby	1
358	Ellen DeGeneres	1
359	Simon Cowell	1
360	The Rich Texan	1
361	Brad Goodman	1
