Id	Label	Size
1	Bowl-O-Rama clerk	1
2	Clancy Wiggum	11
3	Apu Nahasapeemapetilon	11
4	Geraldo Rivera	2
5	Hannibal Lecter	1
6	Otto Mann	12
7	Ms. Pommelhorst	1
8	Robert Terwilliger	1
9	Master Sushi Chef	1
10	Carl Carlson	9
11	Phil Donahue	1
12	Helen Lovejoy	6
13	Waylon Smithers, Jr.	9
14	Barney Gumble	15
15	Leon Kompowsky	1
16	Ms. Melon	2
17	Maggie Simpson	23
18	Terri Mackleberry	10
19	Ms. Phipps	3
20	Dave	1
21	Moe Szyslak	15
22	Scratchy	7
23	Professor Lombardo	2
24	Tanya	2
25	Melissa	2
26	The Chief	1
27	Rod Flanders	5
28	Todd Flanders	5
29	Snake Jailbird	5
30	Milhouse Van Houten	15
31	Lenny Leonard	11
32	Charles Montgomery Burns	12
33	Bart Simpson	24
34	Kent Brockman	9
35	Julius Hibbert	6
36	Lucille Botzcowski	2
37	Agnes Skinner	2
38	Jasper Beardley	3
39	District attorney	2
40	Nick Riviera	4
41	Sherri Mackleberry	10
42	Ned Flanders	9
43	Wendell Borton	10
44	Groundskeeper Willie	5
45	Lisa Simpson	24
46	Floyd	1
47	Ms. Albright	1
48	Snowball II	9
49	Female interviewer	1
50	Antoine Tex O'Hara	1
51	Itchy	7
52	Della	2
53	Princess Kashmir	4
54	Krusty the Clown	10
55	Abraham Simpson	5
56	Michael Jackson	1
57	Santa's Little Helper	11
58	Selma Bouvier	11
59	Sylvia Winfield	2
60	Marvin Monroe	6
61	J. Loren Pyror	2
62	Joe Quimby	8
63	Blue-haired lawyer	4
64	Marge Simpson	23
65	Homer Simpson	24
66	Patty Bouvier	11
67	Kearney Zzyzwicz	5
68	Truong Van Dinh	1
69	Abraham Lincoln	1
70	Alonzo Flowers	1
71	Brad Fletcher	1
72	Nelson Muntz	10
73	Rudy	2
74	Faith Crowley	1
75	Teddy Kennedy	1
76	Dolores Montenegro	2
77	Winifred Beecher Howe	1
78	Wilson DeFarge	1
79	Barbara Bush	1
80	George H. W. Bush	1
81	Maria Dominguez	1
82	Thomas Jefferson	1
83	Jerry	1
84	Rowena	1
85	Chilton Danes	1
86	Bob Arnold	1
87	Old father	1
88	Joshua and Amber's mother	1
89	Lionel Hutz	3
90	Eddie	11
91	Great father	2
92	Sideshow Mel	6
93	Cowboy Bob	1
94	Emily Winthrop	1
95	Great mother	1
96	"Just stamp the ticket" man	3
97	Lou	11
98	Edna Krabappel	9
99	Richie Sakai	1
100	Akira	3
101	Chuck Ellis	1
102	Jasper Beardly	6
103	Martin Prince, Sr.	1
104	Herman Hermann	4
105	Becky	3
106	Jimbo Jones	6
107	Dolph Starbeam	3
108	Irving Zitsofsky	1
109	Maude Flanders	4
110	Martha Prince	1
111	Jack Larson	1
112	Legs	2
113	Cocoa Beanie	1
114	Lewis Clark	8
115	Seymour Skinner	10
116	Judge Snyder	1
117	Joe Mantegna	1
118	Princess Opal	1
119	Troy McClure	6
120	Timothy Lovejoy, Jr.	5
121	Louie	1
122	Joey	1
123	Janey Powell	7
124	Fat Tony	1
125	Richard	9
126	Ralph Wiggum	4
127	Waylon Smithers	1
128	Sideshow Bob	2
129	Marguerita	1
130	Hercules	1
131	Magic Johnson	1
132	Aristotle Amadopolis	2
133	Scott Christian	3
134	Martin Prince, Jr.	11
135	Luann Van Houten	2
136	Los Angeles Lakers	1
137	Chick Hearn	1
138	Avery Devereaux	1
139	Rowdy Rabbi	1
140	Hyman Krustofsky	1
141	Lois Pennycandy	1
142	Ice cream lady	1
143	Scratchy, Jr.	1
144	Monkey paw seller	1
145	Kang	1
146	Kodos	1
147	Sam	5
148	Larry	5
149	Millicent	1
150	Jer	1
151	Princess	1
152	My Ding-a-Ling Kid	1
153	Seattle Slew	1
154	Lunchlady Dora	1
155	Mayor Quimby's body guards	1
156	McBain	1
157	Buck-toothed boy	2
158	Charles Lindbergh	1
159	The Galloping Gazelle	1
160	Yellow Weasel	2
161	Joe Theismann	1
162	Jeremy Freedman	1
163	Scoey's killer	1
164	Black Weasel	2
165	Great son	1
166	Rainier Wolfcastle	2
167	Scoey	1
168	Bill Cosby	1
169	Judah Ben-Hur	1
170	Ronnie Beck	1
171	Sophie Jensen	1
172	Jack	1
173	Drederick Tatum	1
174	Lance Murdock	2
175	Rafi	1
176	Susan	1
177	Colette	1
178	Wanda	2
179	Aerosmith	1
180	Jacques	2
181	Bernard	2
182	A. J. P. Martin	1
183	Hugh Jass	1
184	Mervin Monroe	1
185	Armando	2
186	Harv Bannister	1
187	The Aristocrat's bartender	1
188	Charlie	2
189	Hans	1
190	Stock broker	1
191	Horst	1
192	Elvis Presley	2
193	Fritz	1
194	Darth Vader	1
195	Aileen	2
196	Lou Collier	1
197	Jacqueline Bouvier	3
198	Cletus	1
199	Justice of the peace	1
200	Bleeding Gums Murphy	2
201	Jake	1
202	Ian	2
203	Dave Shutton	1
204	Wall E. Weasel	1
205	Sting	1
206	Jonathan Frink	3
207	Capital City Goofball	1
208	Rosarita	1
209	Joshua and Amber's Mom	1
210	Timmy O'Toole	1
211	Bartron	1
212	Señor Beaverotti	1
213	Lewis look-alike	1
214	Stephanie Brockman	1
215	Toby	1
216	Mrs. Norton	1
217	Marco	1
218	Comic Book Guy	2
219	Jimmy Apollo	1
220	Elizabeth Hoover	5
221	Rodrigo	1
222	Arnie Pye	1
223	Jim Reardon	1
224	Mr. Teeny	3
225	Nick	1
226	Chief Wiggum	1
227	Justin Sherman	1
228	Cecile Shapiro	1
229	Sparkle	1
230	Stinky and Wrinkles	1
231	Woodrow	1
232	The Cobra	1
233	Mr. Amazing	1
234	Ted Carpenter	1
235	Brittany	1
236	Gordie Howe	1
237	Jim Creighton	1
238	George Steinbrenner	1
239	Camping man	1
240	William Pitt	1
241	Jaffee	1
242	Springfield Nuclear Power Plant softball team	1
243	Honus Wanger	1
244	Shoeless Joe Jackson	1
245	Sanjay Nahasapeemapetilon	2
246	Wade Boggs	1
247	José Canseco	1
248	The Steve Sax Trio	1
249	Mordecai Brown	1
250	Camping woman	1
251	Lord Palmerston	1
252	Steve Sax	1
253	Roger Clemens	1
254	Harry Hooper	1
255	Darryl Strawberry	1
256	Don Mattingly	1
257	Smilin' Joe Fission	1
258	Ozzie Smith	1
259	Long haired girl	1
260	Female mail carrier	1
261	Ken Griffey, Jr.	1
262	Pie Traynor	1
263	Cap Anson	1
264	Roger Meyers, Jr.	1
265	Napoleon Lajoie	1
266	Hypnotist	1
267	John S.	1
268	Mike Scioscia	1
269	Gabby Street	1
270	Gloria S.	1
271	Black teacher	1
272	Mr. Glascock	1
273	Mr. Palaccio	1
274	Roy Snyder	1
275	Chuck	1
276	Mr. Montone	1
277	Janey Roberts	1
278	Dewey Largo	1
279	Veterinarian	1
280	Yuma	1
281	Jed Colic	1
282	Wade	1
283	The Ya Hoo! Recovering Alcoholic Jug Band	1
284	Butterball Jackson	1
285	Big Shirtless Rod	1
286	Orville and Hurley	1
287	Pip Diddler	1
288	Yodelin' Zeke	1
289	Lurleen Lumpkin	1
290	Kathy Mae	1
291	Freddy-Boy	1
292	Cloris Mozelle	1
293	Colonel Coward	1
294	Pepito	1
295	Suck-up the Vacuum	1
296	Droppy Drawers	1
297	Hans Moleman	1
298	Dennis	1
299	Spinal Tap	1
300	Marty	1
301	Bill	1
302	Samantha Stankey	1
303	Alfred Hitchcock	1
304	Kirk Van Houten	1
305	Mickey Mantle	1
306	Omar Vizquel	1
307	Mr. Stankey	1
308	Dom DeLuise	1
309	Space Mutants	1
310	Herb Powell	1
