Id	Label	Size
1	Amish man	1
2	Squeaky-voiced teen	2
3	Ravi Shankar	1
4	Krusty the Clown	12
5	Becky	6
6	Terri Mackleberry	11
7	Maude Flanders	10
8	Lou	4
9	"Just stamp the ticket" man	2
10	Wendell Borton	10
11	Lisa Simpson	25
12	Long haired girl	2
13	Lewis Clark	9
14	George Meany	1
15	"Hello, Mrs. Cumberdale" boy	1
16	Chuck	1
17	Seymour Skinner	16
18	Ralph Wiggum	13
19	Itchy	4
20	Martin Prince, Jr.	11
21	Julius Hibbert	14
22	Dolph Starbeam	8
23	Richard	11
24	Jimbo Jones	11
25	Otto Mann	8
26	Sherri Mackleberry	11
27	Nelson Muntz	11
28	Kearney Zzyzwicz	8
29	Janey Powell	12
30	Eddie	4
31	Ned Flanders	15
32	Abraham Simpson	19
33	Bart Simpson	25
34	Maggie Simpson	25
35	Todd Flanders	7
36	Melissa	5
37	Marge Simpson	24
38	Rod Flanders	6
39	Milhouse Van Houten	17
40	Hans Moleman	9
41	Pool Sharks salesman	1
42	Homer Simpson	25
43	Scratchy	4
44	Art Garfunkel	1
45	Mittens	1
46	Üter Zörker	4
47	Dewey Largo	6
48	Mr. Taylor	1
49	John Oates	1
50	Sarah	1
51	Agnes Skinner	3
52	Elizabeth Hoover	8
53	Allison Taylor	2
54	Christopher Columbus	1
55	Jim Messina	1
56	Carl Carlson	13
57	Ruth Powers	5
58	Waylon Smithers, Jr.	12
59	Mindy Simmons	1
60	Jacques	3
61	Black weasel	3
62	Yellow weasel	2
63	Patty Bouvier	9
64	Jacqueline Bouvier	3
65	Jasper Beardly	8
66	Timothy Lovejoy, Jr.	8
67	Charles Montgomery Burns	12
68	Lenny Leonard	13
69	Sideshow Bob	2
70	Selma Bouvier	9
71	Horatio McCallister	4
72	Bernice Hibbert	6
73	Clancy Wiggum	15
74	Sam	8
75	Alice Glick	4
76	Laura Powers	1
77	Artie Ziff	1
78	Larry	6
79	Moe Szyslak	15
80	Barney Gumble	14
81	Edna Krabappel	11
82	Maw	1
83	Cletus Spuckler	1
84	Bort	1
85	Uncle Ant	1
86	Itchy & Scratchy robots	1
87	Professor Frink	1
88	John Travolta	1
89	Snowball II	9
90	Disgruntled Goat	1
91	Ku Klux Clam	1
92	Roger Meyers Jr.	1
93	Santa's Little Helper	8
94	Roger Meyers Sr.	1
95	Snake Jailbird	5
96	Count Dracula	1
97	Mr. Slate	1
98	Roy Snyder	1
99	Luann Van Houten	7
100	Joe Quimby	9
101	Lionel Hutz	4
102	Rainier Wolfcastle	2
103	Apu Nahasapeemapetilon	10
