Id	Label	Size
1	Louie	5
2	Milhouse Van Houten	14
3	Johnny Tightlips	2
4	Otto Mann	9
5	Marge Simpson	22
6	Hans Moleman	7
7	Krusty the Clown	15
8	Garfield	1
9	Terri Mackleberry	10
10	Fat Tony	7
11	Homer Simpson	22
12	Nelson Muntz	11
13	Metallica	1
14	Sherri Mackleberry	10
15	Bart Simpson	22
16	Legs	5
17	Maggie Simpson	22
18	Michael D'Amico	1
19	Lisa Simpson	22
20	Gudrun Sylvester Hvid	1
21	Lewis Clark	6
22	Nick Riviera	4
23	Martin Prince, Jr.	4
24	Bossie	1
25	Rod Flanders	6
26	The Pre-Marital Sextet	1
27	Dr. Brentano	1
28	Ms. Albright	3
29	The Blue Man Group	1
30	Cantaloupe St. Pierre	1
31	Kirk Van Houten	7
32	Julius Hibbert	13
33	Kent Brockman	10
34	Bootsy Croutonne	1
35	Sam	4
36	Tribal Chief	1
37	Spuckler children	1
38	Carl Carlson	14
39	Sarah Wiggum	6
40	Pria Nahasapeemapetilon	1
41	Ned Flanders	13
42	Martin Prince, Sr.	6
43	The Rich Texan	4
44	Bobby Peterson	1
45	Eddie	5
46	Cletus Spuckler	8
47	Willie Mimms	1
48	Horatio McCallister	6
49	Defonzo Palmer	1
50	Clancy Bouvier	1
51	No-Talent Jones	1
52	D.W. Jitters!	1
53	Kearney Zzyzwicz	10
54	Gillian	1
55	C.S.I. Miami	1
56	Clancy Wiggum	13
57	Disco Stu	3
58	Anwar Benitez	1
59	Marcus Le Marquez	1
60	Bad-Check Mazursky	1
61	Alice Glick	5
62	Smiley	1
63	Dewey Largo	6
64	Lindsey Naegle	4
65	Elizabeth Hoover	7
66	Daphne Beaumont	1
67	Mr. Mitchell	1
68	Jimbo Jones	7
69	Patty Bouvier	7
70	Richard	9
71	Moe Szyslak	16
72	Gooey Martin	1
73	Rafael	7
74	Snowball V	1
75	Groundskeeper Willie	11
76	Seymour Skinner	11
77	Jazzy Goodtime's waiter	1
78	Database	6
79	Manjula Nahasapeemapetilon	3
80	Sketch Friendly	1
81	Doug	1
82	Todd Flanders	6
83	Henry the Canary	1
84	Barney Gumble	12
85	Santa's Little Helper	11
86	The Chubb Group	1
87	Ralph Wiggum	9
88	Timothy Lovejoy, Jr.	6
89	Anoop Nahasapeemapetilon	1
90	Ernst	2
91	Gary Chalmers	8
92	Jonathan Frink	8
93	Neil	1
94	Squeaky-voiced teen	4
95	Drop Jaws Turner	1
96	Tootsie Childs	1
97	Sideshow Mel	7
98	Sammy Biltmore	1
99	Gunter	2
100	The White Stripes	1
101	Richie Sakai	1
102	Shaky Premise	1
103	Amber Simpson	1
104	Üter Zörker	4
105	Helen Lovejoy	9
106	Luann Van Houten	6
107	Martha Prince	6
108	Samantha Stankey	1
109	Patricia	1
110	Anastasia	2
111	Brad	1
112	Brandine Del Roy	7
113	Bossy Marmalade	1
114	Apu Nahasapeemapetilon	14
115	Lenny Leonard	14
116	Ruth Powers	3
117	Gil Gunderson	4
118	Ray-Ray Takamura	1
119	Melissa	4
