Id	Label	Size
1	Dewey Largo	9
2	Oliver Williamson	1
3	Kurt Hardwick	1
4	Stephen Hawking	1
5	Roofi	1
6	Lena Hau	1
7	Steve Harris	1
8	Dolph Starbeam	11
9	Amber Riley	1
10	Joe Quimby	6
11	Vera Rubin	1
12	Jay Leno	1
13	Lewis Clark	10
14	Lisa Simpson	22
15	Database	5
16	Elizabeth Hoover	9
17	Gary Chalmers	15
18	Ira Glass	1
19	Julius Hibbert	10
20	Comic Book Guy	9
21	Martin Prince, Jr.	12
22	Hans Moleman	9
23	Jagdish Bhagwati	1
24	Otto Mann	10
25	Richard Zare	1
26	Jasper Beardly	3
27	Andrew Lloyd Webber	1
28	Mohandas Karamchand Gandhi	1
29	Cletus Spuckler	8
30	Elaine Stritch	1
31	Rainier Wolfcastle	2
32	Kenkichi Sonogashira	1
33	Edna Krabappel	12
34	Kearney Zzyzwicz	13
35	Ned Flanders	15
36	Kent Brockman	8
37	Nelson Mandela	1
38	B. L. Feringa	1
39	Milhouse Van Houten	19
40	Krusty the Clown	12
41	Ethan Ballantyne	1
42	Homer Simpson	22
43	Rafael	8
44	Head Judge	1
45	Barney Gumble	11
46	Sherri Mackleberry	12
47	Crazy Cat Lady	4
48	Terri Mackleberry	12
49	Maggie Simpson	20
50	Mr. Teeny	2
51	Abraham Simpson	15
52	Jimbo Jones	12
53	Bart Simpson	22
54	W. E. Moerner	1
55	Allison Taylor	7
56	Lionel Hutz	1
57	Marge Simpson	22
58	Von Krusten	1
59	Cory Monteith	1
60	Carl Carlson	16
61	Betty Comden	1
62	Moe Szyslak	16
63	Nobel Prize announcer	1
64	Janey Powell	9
65	Lea Michele	1
66	Springfield Elementary School Band	1
67	Dutch policeman	1
68	Spider-Man	1
69	Lucius Sweet	1
70	Tattoo Annie	1
71	Seymour Skinner	16
72	Boy with bangs	2
73	Muhammad Yunus	1
74	Mark Zuckerberg	1
75	Agnes Skinner	14
76	Gil Gunderson	6
77	Hollis Hurlbut	2
78	Disco Stu	9
79	Eddie Gaedel	1
