Id	Label	Size
1	Ned Flanders	12
2	Buck-toothed girl	2
3	Bart Simpson	20
4	Terri Mackleberry	9
5	The Rich Texan	4
6	Martin Prince	4
7	Svetlana	1
8	Dan Castellaneta	1
9	Wendell Borton	4
10	Sherri Mackleberry	9
11	Janey Powell	3
12	Richard	6
13	Barney Gumble	8
14	Squeaky-voiced teen	4
15	Milhouse Van Houten	11
16	Seymour Skinner	14
17	Medicine woman	1
18	Charles Montgomery Burns	8
19	Homer Simpson	20
20	Lisa Simpson	20
21	Marge Simpson	20
22	Maggie Simpson	20
23	Colin	1
24	Waylon Smithers	4
25	E.T.	1
26	Lewis Clark	3
27	Boy with shades	3
28	Lionel Richie	1
29	Itchy	3
30	Nelson Muntz	13
31	Carl Carlson	16
32	Russ Cargill	1
33	Scratchy	3
34	Krusty the Clown	9
35	Sophie Jensen	4
36	Otto Mann	4
37	Colby Krause	1
38	Lenny Leonard	16
39	Duffman	4
40	Groundskeeper Willie	7
41	Andrea Bocelli	1
42	Moe Szyslak	11
43	Dorothy	2
44	Pl�cido Domingo	1
45	Julia	1
46	Mrs. Vanderbilt	1
47	Bernice Hibbert	6
48	Mim�	1
49	Dewey Largo	4
50	Marcello	1
51	Kirk Van Houten	7
52	Clancy Wiggum	9
53	Julius Hibbert	11
54	Timothy Lovejoy	3
55	Santa's Little Helper	5
56	Edna Krabappel	7
57	Donny	2
58	Melvin Van Horne	2
59	Mr. T	1
60	Flatbed Fred	1
61	Angelica	1
62	Jebediah Springfield	2
63	Joe Quimby	9
64	Jaffee	3
65	Agnes Skinner	6
66	Apu Nahasapeemapetilon	10
67	Legs	1
68	Rod Flanders	2
69	Ralph Wiggum	8
70	Sam	2
71	Jimbo Jones	7
72	Louie's aunt	1
73	Horatio McCallister	4
74	Hans Moleman	7
75	Louie	1
76	Comic Book Guy	8
77	Train engineer	1
78	Todd Flanders	3
79	Crazy Cat Lady	2
80	Rainier Wolfcastle	3
81	Larry	3
82	Arnie Pye	2
83	Ruth Powers	4
84	Dwight Diddlehopper	1
85	Dilbert	1
86	Dolph Starbeam	3
87	Snake Jailbird	3
88	Lou	5
89	Lindsey Naegle	3
90	Bumblebee Man	4
91	Gloria	1
92	Old Jewish man	3
93	Kent Brockman	9
94	Gil Gunderson	3
95	Eddie	3
96	Martin Prince, Sr.	5
97	Jasper Beardly	4
98	Martha Prince	4
99	Jim Halterman	1
100	Gregory House	1
101	Plopper	2
102	bobblehead	1
103	Selma Bouvier	7
104	Patty Bouvier	7
105	Kang	1
106	Rachel Goodman	1
107	Devil	1
108	Kodos	1
109	Becky	2
110	Gaylord Q. Tinkledink	1
111	Melissa	2
112	Abraham Simpson	5
113	Buck-toothed boy	2
114	Norbert Van Houten	1
115	Girl with glasses	2
116	Snowball V	1
117	Elizabeth Hoover	5
118	Luann Van Houten	4
119	Billy Ocean	1
120	Long haired girl	2
121	Timothy Lovejoy, Jr.	3
122	Mr. Johnson	1
123	Allison Taylor	2
124	Adrian	2
125	Gary Chalmers	7
126	Wolverine	1
127	Sasha	1
128	Cookie Kwan	1
129	Milo	1
130	Kearney's mother	1
131	Kearney Zzyzwicz	3
132	Zach G.	1
133	Robin	1
134	Dr. Velimirovic	1
135	Zach D.	1
136	Strawberry	1
137	Miss Springfield	1
138	Helen Lovejoy	4
139	Alan Moore	1
140	Chicago Bears	1
141	Tom Jones	1
142	Sarah Wiggum	2
143	Art Spiegelman	1
144	Opal	2
145	Straightman	2
146	Sideshow Mel	4
147	Daniel Clowes	1
148	Cletus Spuckler	4
149	Mr. Teeny	2
150	Herman Hermann	1
151	Clippy	1
152	Francesca Terwilliger	1
153	Cecil Terwilliger	1
154	Fat Tony	1
155	Robert Terwilliger, Sr.	1
156	Jonathan Frink	4
157	Robert Terwilliger	1
158	Big Bird	1
159	Scratchy, Jr.	1
160	Judith Underdunk	1
161	Roy Snyder	2
162	Manjula Nahasapeemapetilon	3
163	Gino Terwilliger	1
164	Keith Olbermann	1
165	Luigi Risotto	1
166	Waylon Smithers, Jr.	2
167	Blue-haired lawyer	2
168	Scrat	1
169	Jack Marley	2
170	Lurleen Lumpkin	3
171	Alice Glick	2
172	Disco Stu	1
173	Julio	2
174	Don Rickles	1
175	Adriatica Vel Johnson	1
176	Count Dracula	1
177	Senator Whinergirl	1
178	Dennis Kucinich	1
179	Andrea Crowley	1
180	Fred Thompson	1
181	Demont Evans	1
182	Ron Lahar	1
183	Jon Stewart	1
184	Elmo	1
185	Nosaf al-Mustafi	1
186	Cheesy McMayor	1
187	Tony Danza	1
188	Elaine Benes	1
189	Kurt Loder	1
190	Marvin Cobain	1
191	Kurt Cobain	1
192	Amy Rose	1
193	Walt Disney	1
194	"Weird Al" Yankovic	1
195	Newman	1
196	Steffan August	1
197	Sonic the Hedgehog	1
198	Paul Cook	1
199	Clyde Barrow	1
200	Shady	1
201	Chompy	1
202	Lady Bitington	1
203	Robby Robin	1
204	Vamp	1
205	Captain Sensible	1
206	Chief Wiggum	1
207	Bonnie Parker	1
208	Lewis look-alike	1
209	Howard	1
210	Loch Ness Monster	1
211	Lewis Jackson	1
212	Terry Gross	1
213	Rafael	2
214	Smug girl	1
215	Database	3
216	Doug	1
217	Chazz Busby	2
218	Angelica Button	1
219	C.H.U.M.	1
220	Margaret Mead	1
221	Frank Tripp	1
222	Martin Prince, Jr.	4
223	Lillian Hellman	1
224	Horatio Caine	1
225	Simone de Beauvoir	1
226	Harry Potter	1
227	Ms. Albright	1
228	Nick Riviera	1
229	Dixie Chicks	1
230	Miss Piggy	1
231	Gerald Samson	1
232	Lunchlady Dora	1
233	Brandine Del Roy	2
234	Sanjay Nahasapeemapetilon	1
235	Cho Lum Kin	1
236	Royce Lumpkin	1
237	Kermit	1
238	Tress MacNeille	1
239	Solar Panel	1
240	Compost	1
241	Mary Spuckler	1
242	Dia-Betty	1
243	Stabbed in Jail Spuckler	1
244	County fair judge	1
245	Janey	1
246	4-H leader	1
247	Justin Leonard	1
248	Dean Martin	1
249	Jim Jarmusch	1
250	Mrs. Muntz	2
251	John C. Reilly	1
252	Springfield University Nittany Tide	1
253	Betsy	1
254	Martin Lawrence	1
255	Lenny Leonard's mother	1
256	Lance Armstrong	1
257	Eric	1
258	Munchie	1
259	Black Eric	1
260	Fozzie Bear	1
261	Alan	1
262	Mona Simpson	1
263	Richard Nixon	1
264	Paul Giamatti	1
265	Seth	1
266	E-mail	1
267	Yes Guy	1
268	Sophia Loren‎	1
269	Krustylu Studios security guard	1
270	Cosine	1
271	Chuckles‎	1
272	Brad Goodman	1
273	Tanya	1
274	Smarty Jones	1
275	Gabbo	1
276	Booberella	1
277	Cindy	1
278	No Yu‎	1
279	Lindsay Lohan	1
280	Professor Nitwit‎	1
281	Arthur Crandall	1
282	Mitzi Gaynor	1
283	Astrid Weller	1
284	Gabriel	1
285	Paris Texan	1
286	Muhammad Ali‎	1
287	Drederick Tatum	1
288	Roger Meyers, Jr.	1
289	Maria Quimby	1
290	Jesse	1
