Id	Label	Size
1	Homer Simpson	25
2	Larry	5
3	Museum lady	1
4	Carl Carlson	13
5	Mrs. Spencer	1
6	Sam	4
7	City worker	3
8	Dowager	1
9	Maggie Simpson	23
10	Alfred E. Neuman	1
11	Barney Gumble	14
12	Very tall man	1
13	Della	1
14	Duffman	1
15	Lisa Simpson	25
16	Moe Szyslak	18
17	Liza Minnelli	1
18	Khlav Kalash vendor	2
19	Lenny Leonard	14
20	Leo	1
21	Adil Hoxha	1
22	Jimmy	1
23	Gillian	1
24	Roberta	1
25	Secretariat	1
26	The Rich Texan	3
27	Pet Store man	1
28	Pope	2
29	Bart Simpson	25
30	Karyn	1
31	Yale woman	1
32	Hazel	3
33	Steven Grabowski	1
34	Marge Simpson	24
35	Jesus	1
36	Joe Quimby	9
37	Ned Flanders	18
38	Becky	2
39	Gary Chalmers	5
40	Elizabeth Hoover	13
41	Ralph Wiggum	11
42	Edna Krabappel	16
43	Agnes Skinner	13
44	Jasper Beardly	11
45	Abraham Simpson	11
46	Seymour Skinner	19
47	Bernice Hibbert	7
48	Groundskeeper Willie	12
49	Rod Flanders	12
50	Kent Brockman	14
51	Lunchlady Dora	4
52	Bleeding Gums Murphy	1
53	Kindergarten teacher	1
54	Julius Hibbert	14
55	Apu Nahasapeemapetilon	15
56	Chan Ho	1
57	Worm-eating boy	1
58	Ms. Phipps	1
59	Nelson Muntz	12
60	Chin Ho	1
61	Fyvush Finkel	1
62	J. Loren Pyror	1
63	Milhouse Van Houten	14
64	Todd Flanders	12
65	The Scream	1
66	Michigan J. Frog	1
67	Mia Farrow	1
68	Snowball I	1
69	Jimbo Jones	9
70	Sideshow Mel	9
71	Edgar Winter	1
72	Otto Mann	12
73	Waylon Smithers	2
74	Kodos	1
75	Charles Montgomery Burns	10
76	Kang	1
77	Maude Flanders	9
78	Luann Van Houten	11
79	Selma Bouvier	6
80	Floyd	1
81	Jonathan Frink	7
82	Lou	8
83	Timothy Lovejoy, Jr.	7
84	Cletus Spuckler	6
85	Patty Bouvier	5
86	Eddie	8
87	Johnny Winter	1
88	Comic Book Guy	11
89	Horatio McCallister	6
90	Kirk Van Houten	12
91	Snake Jailbird	8
92	Santa's Little Helper	6
93	Squeaky-voiced teen	5
94	Herman Hermann	4
95	Snowball V	1
96	Fox censor	1
97	Clancy Wiggum	15
98	Ariaga	1
99	Ariaga II	1
100	Bariaga	1
101	Kearney Zzyzwicz	7
102	Rainier Wolfcastle	4
103	Louie	2
104	Krusty the Clown	12
105	Aruglia	1
106	Pelé	1
107	Pizzoza	1
108	Rafael	4
109	Sandy Koufax	1
110	Hank Hill	1
111	Üter Zörker	2
112	Sherri Mackleberry	8
113	Terri Mackleberry	8
114	Old Jewish Man	4
115	Roy Firestone	1
116	Martin Prince, Jr.	5
117	Joe Namath	1
118	Janey Powell	4
119	Emile	1
120	Prudence	1
121	Brandine Del Roy	4
122	Hattie	1
123	Gladys	1
124	Hester	2
125	Apu Nahasapeemapetilon Sr.	1
126	Alice Glick	3
127	Lucky	1
128	Beatrice	1
129	Retirement Castle nurse	1
130	Apu's mother	1
131	Cornelius Talmadge	1
132	Waylon Smithers, Jr.	9
133	Sanjay Nahasapeemapetilon	4
134	Ruth Powers	7
135	Disco Stu	2
136	Ingrice	1
137	Lemuel	1
138	Hans Moleman	7
139	Manjula Nahasapeemapetilon	5
140	Manjula's mother	1
141	Asa	1
142	Apu's relative	1
143	Bumblebee Man	2
144	Adrian	1
145	Buck-toothed boy	2
146	Dewey Largo	2
147	Buck-toothed girl	1
148	Melvin Van Horne	1
149	Melissa	1
150	Long haired girl	2
151	Dolph Starbeam	5
152	Richard	3
153	Martin Prince	2
154	Helen Lovejoy	7
155	Martin Prince, Sr.	4
156	Martha Prince	1
157	Lewis Jackson	1
158	Roy Snyder	1
159	Wendell Borton	6
160	Stephen Jay Gould	1
161	Allison Taylor	1
162	Lionel Hutz	5
163	Timothy Lovejoy	1
164	Jaffee	1
165	Sarah Wiggum	4
166	Boy with shades	1
167	Blue-haired lawyer	2
168	Chief Wiggum	1
169	Cookie Kwan	1
170	Lurleen Lumpkin	1
171	Larry Burns	1
172	Johnny D	1
173	Gil Gunderson	4
174	George H. W. Bush	1
175	Barbara Van Horne	1
176	Patches	1
177	Snowball II	3
178	Alex Trebek	1
179	Poor Violet	1
180	Number 51	1
181	Lyle Lanley	1
182	Clint Eastwood	1
183	Lewis Clark	6
184	Martha Quimby	1
185	Marvin Monroe	1
186	Lee Marvin	1
187	Joshua Logan	1
188	Number One	1
189	Steve Guttenberg	1
190	Charlie	2
191	Greyhound puppies	1
192	George Harrison	1
193	Sherri and Terri's mother	1
194	The Human Fly	1
195	Professor Frink	1
196	Helen Feesh	1
197	Belle	1
198	Timothy Lovejoy, Sr.	1
199	Fantastic Dan	1
200	Spud	1
201	Humphrey	1
202	Impervo the Painless	1
203	Cooder	1
204	Nick Riviera	4
205	Stephen King	1
206	Gerald Samson	1
207	Jane	1
208	The Leader	1
209	Glen	1
210	Barney the Dinosaur	1
211	Bill Gates	1
212	Jay Leno	1
213	Steven Wright	1
214	Bruce Baum	1
215	Bobcat Goldthwait	1
216	Mr. Teeny	1
217	Renee	1
218	Doris Freedman	1
219	Jack Marley	2
220	Yellow weasel	1
221	Sophie Jensen	1
222	Dr. Simpson	1
223	"Just stamp the ticket" man	2
224	Billy	1
225	Troy McClure	2
226	Jaffee Ziswhisky	1
227	Beggar relative	1
228	Kenny	1
229	Wiggle Puppy	1
230	Martha	1
231	Database	1
232	Leprechaun	1
233	Robot controller	1
