Id	Label	Size
1	Marge Simpson	22
2	Johnny Tightlips	1
3	Carl Carlson	16
4	Caleb Thorn	1
5	Maggie Simpson	22
6	Legs	3
7	Louie	2
8	Frosty the Snowman	1
9	Fat Tony	3
10	Homer Simpson	22
11	Bart Simpson	22
12	Santa's Little Helper	9
13	Lisa Simpson	22
14	Victor	1
15	Santa's Little Helper's brother	1
16	Lenny Leonard	17
17	Moe Szyslak	16
18	Commentator	1
19	Lou	8
20	Ben Cartwright	1
21	Snowball V	2
22	Ned Flanders	9
23	Manjula Nahasapeemapetilon	2
24	Alice Glick	5
25	Helen Lovejoy	7
26	Rod Flanders	5
27	Sideshow Mel	11
28	Abraham Simpson	7
29	Billy	1
30	Barney Gumble	10
31	Itchy	2
32	Nick Riviera	3
33	Alexander Graham Bell	1
34	Groundskeeper Willie	10
35	Frederick Ives	1
36	Timothy Lovejoy, Jr.	5
37	Bernice Hibbert	10
38	Scratchy	2
39	Milton Burkhart	1
40	Clancy Wiggum	13
41	Ralph Wiggum	12
42	Eddie	6
43	Julius Hibbert	10
44	Count von Count	1
45	Milhouse Van Houten	15
46	Apu Nahasapeemapetilon	10
47	Kent Brockman	11
48	Todd Flanders	7
49	Elisha Gray	1
50	Selma Bouvier	8
51	Katherine Blodgett	1
52	Squeaky-voiced teen	5
53	Patty Bouvier	7
54	Pria Nahasapeemapetilon	1
55	Nelson Muntz	12
56	Joe Quimby	9
57	Anoop Nahasapeemapetilon	1
58	Sherri Mackleberry	9
59	Terri Mackleberry	9
60	Sarah Wiggum	6
61	Luann Van Houten	8
62	Sandeep Nahasapeemapetilon	1
63	Lucius Sweet	1
64	Kearney Zzyzwicz	11
65	Elizabeth Hoover	9
66	Agnes Skinner	11
67	Gheet Nahasapeemapetilon	1
68	Alcatraaaz	1
69	Martin Prince	6
70	Kearney Zzyzwicz, Jr.	1
71	Uma Nahasapeemapetilon	1
72	Gerald Samson	2
73	Seymour Skinner	13
74	Dr. Wexler	1
75	Krusty the Clown	8
76	Jasper Beardly	7
77	Blue-haired lawyer	3
78	Nabendu Nahasapeemapetilon	1
79	Edna Krabappel	13
80	Poonam Nahasapeemapetilon	1
81	Martin Prince, Sr.	7
82	Kirk Van Houten	6
83	Sashi Nahasapeemapetilon	1
84	Lewis Clark	6
85	Hans Moleman	5
86	Waylon Smithers, Jr.	8
87	Sideshow Raheem	1
88	Martha Prince	7
89	Drederick Tatum	3
90	Cyborg Bart	1
91	Dorothy	1
92	Witch	1
93	David	1
94	Dolph Starbeam	9
95	Disco Stu	7
96	Rafael	5
