Id	Label	Size
1	Gil Gunderson	2
2	Moe Szyslak	12
3	Maggie Simpson	21
4	Marge Simpson	21
5	Selma Bouvier	5
6	Herman Hermann	3
7	Edna Krabappel	8
8	Charles Montgomery Burns	6
9	Ned Flanders	12
10	Clancy Wiggum	13
11	Carl Carlson	10
12	Hans Moleman	6
13	Lenny Leonard	11
14	Princess Kashmir	1
15	Simon Stoolowitz	1
16	Eddie	7
17	Lisa Simpson	21
18	Elizabeth Hoover	6
19	Bart Simpson	21
20	Homer Simpson	21
21	Eliza Simpson	1
22	Cletus Spuckler	7
23	Lou	9
24	Ralph Wiggum	8
25	Dr. Nick Riviera	1
26	Kodos	1
27	Otto Mann	8
28	Snowball V	2
29	Apu Nahasapeemapetilon	9
30	God	2
31	Kang	1
32	Cookie Kwan	3
33	Julius Hibbert	13
34	Kent Brockman	11
35	Brandine Del Roy	5
36	Sonny Jurgensen	1
37	Milhouse Van Houten	11
38	Pope	1
39	Sherri Mackleberry	6
40	Kirk Van Houten	7
41	Julius Pringles	1
42	Jasper Beardly	7
43	Miles Davis	1
44	Sam	5
45	Snip	1
46	Thomas Pynchon	1
47	Sideshow Mel	6
48	Kearney Zzyzwicz	8
49	Billy Bullion Cube	1
50	Dewey Largo	4
51	Rod Flanders	9
52	Ruth Powers	4
53	Nelson Muntz	9
54	The Koobler Dwarfs	1
55	Toucan Sam	1
56	Luann Van Houten	5
57	Timothy Lovejoy, Jr.	5
58	Martin Prince, Jr.	4
59	Sarah Wiggum	4
60	Black Dracula	1
61	Luigi Risotto	3
62	Manjula Nahasapeemapetilon	3
63	Melissa	4
64	Angelo	1
65	Twinkle the Kid	1
66	Jonathan Frink	5
67	Lunchlady Dora	2
68	Adolf Hitler	1
69	James Caan	1
70	Blacula	1
71	Poof	1
72	Terri Mackleberry	6
73	Todd Flanders	8
74	Gary Chalmers	3
75	Stuart	1
76	Crinkle	1
77	Ms. Albright	1
78	Squeaky-voiced teen	4
79	Agnes Skinner	6
80	Larry	7
81	Bella Abzug	1
82	Comic Book Guy	8
83	Martin Prince, Sr.	4
84	Waylon Smithers, Jr.	3
85	Mr. Cashew	1
86	Auntie Ovenfresh	1
87	Groundskeeper Willie	9
88	Helen Lovejoy	4
89	Steve Barnes	1
90	Long haired girl	2
91	Krusty the Clown	8
92	Louis St. Laurent	1
93	Mrs. Muntz	1
94	Patty Bouvier	4
95	Mr. Muntz	1
96	Abraham Simpson	8
97	Dwight D. Eisenhower	1
98	Martin Prince	4
99	Janey Powell	4
100	Seymour Skinner	9
101	Jacqueline Bouvier	1
102	Santa's Little Helper	5
103	Chloe Talbot	1
104	Lewis Lapham	1
105	SpongeBob SquarePants	1
106	Cookie Kwan and Joe Quimby's son	1
107	Buddha	1
108	Jet	1
109	Bob Dylan	1
110	Jesus Christ	3
111	G. Gordon Liddy	1
112	O.J. Simpson	1
113	Joe Quimby	6
114	Barney Gumble	9
115	Sophie Jensen	1
116	Dolph Starbeam	5
117	Horatio McCallister	7
118	Jaffee	2
119	Girl with glasses	1
120	Itchy	3
121	Adrian	1
122	Martha Prince	3
123	Declan Desmond	1
124	Goose Gladwell	1
125	Database	1
126	Scratchy	3
127	Jimbo Jones	7
128	Jeremy Freedman	3
129	C.H.U.M.	1
130	Richard	2
131	Poochie	1
132	Sergeant Activity	1
133	Wendell Borton	3
134	Lewis Clark	2
135	Smug girl	1
136	Becky	2
137	Puppy Goo-Goo	1
138	Lieutenant Adventure	1
139	Waylon Smithers	2
140	Rafael	3
141	Shiva	1
142	Dudley Do-Right	1
143	English translator	1
144	American border security official 1	1
145	Springfield Air and Space Museum guide	1
146	Huey Lewis	1
147	Dudley Do-Drugs employee	1
148	Canadian border security official	1
149	Mountie	1
150	Dylan Spuckler	1
151	Cassidy Spuckler	1
152	Taylor Spuckler	1
153	Hawkman	1
154	Pharm-er John's Pharmaceuticals employee	1
155	Bill Gibson	1
156	Tiffany Spuckler	1
157	Sean Hopper	1
158	Canadian newscaster	1
159	Rachel Green	1
160	Canadian Flanders	1
161	Johnny's friend	1
162	French translator	1
163	Dermott Spuckler	1
164	Johnny	1
