Id	Label	Size
1	Slithers	1
2	Selma Bouvier	8
3	Kearney Zzyzwicz	5
4	Katie Couric	1
5	Lisa Simpson	22
6	Krusty the Clown	8
7	Old Jewish Man	6
8	Kang	2
9	Dotty	1
10	Moe Szyslak	15
11	Milhouse Van Houten	12
12	Nelson Muntz	8
13	Comic Book Guy	11
14	Ultrahouse 3000	1
15	Carl Carlson	14
16	Cholera woman	1
17	Yoda	1
18	Baby-Puppy vendor	1
19	Sheila	1
20	Jimbo Jones	6
21	Marge Simpson	22
22	Bart Simpson	22
23	Apple vendor	1
24	Leprechaun	1
25	Seymour Skinner	14
26	Drunken prince	1
27	Lord Montymort	1
28	Chief Wiggum	2
29	Installer robots	1
30	Patty Bouvier	8
31	Salesbot	1
32	George Lazenby	1
33	Hobgoblin	1
34	Ned Flanders	16
35	Gypsy	1
36	Waylon Smithers, Jr.	9
37	Handsome prince	1
38	Maggie Simpson	22
39	Kodos	2
40	Charles Montgomery Burns	15
41	Lenny Leonard	17
42	Ralph Wiggum	8
43	Pierce Brosnan	1
44	Homer Simpson	21
45	Edna Krabappel	12
46	Toad-Prince creature	1
47	Remington Steele	1
48	Harry Potter	1
49	Marty	3
50	Janey Powell	4
51	Sherri Mackleberry	6
52	Becky	2
53	Snake Jailbird	7
54	Kent Brockman	8
55	Kirk Van Houten	9
56	Hans Moleman	7
57	Dr. Bonebreak	1
58	Richard	3
59	Martin Prince, Jr.	6
60	Wendell Borton	4
61	Database	3
62	Carol Jones	1
63	Rumbleina	1
64	Terri Mackleberry	6
65	Judge Constance Harm	1
66	Roy Snyder	3
67	Lou	11
68	Horatio McCallister	6
69	Bill	3
70	Cora	1
71	Lewis Clark	1
72	Jonathan Frink	7
73	Formico	1
74	Chinese military official	1
75	Bob Kaufman	1
76	R.E.M.	1
77	Cecil	1
78	Arthur Fonzarelli	2
79	Chinese Humongous	1
80	Ralph Drabble	1
81	Shaggy	1
82	Russian model	1
83	Barney Gumble	8
84	Professor Huntington	1
85	Dagmar and Julien	1
86	Morlocks	1
87	Eddie	8
88	Woody Allen	1
89	Waiter	1
90	Cletus Spuckler	8
91	Clancy Wiggum	13
92	Gloria	2
93	Hypnotist	1
94	Judith Owen	1
95	Fat Tony	5
96	Burly	1
97	Timothy Lovejoy, Jr.	8
98	Waylon Smithers, Sr.	1
99	Paul Newman	1
100	Louie	3
101	Mesmerino	1
102	Legs	3
103	Helen Lovejoy	6
104	Todd Flanders	6
105	Squeaky-voiced teen	5
106	Agnes Skinner	7
107	Rod Flanders	7
108	Lindsey Naegle	4
109	Hassan Jay Salam	1
110	Gary	1
111	Dewey Largo	3
112	Bernice Hibbert	8
113	Groundskeeper Willie	6
114	Dolph Starbeam	3
115	Chet Manners	1
116	Noid	1
117	Martin Prince, Sr.	3
118	Jasper Beardly	7
119	Blue-haired lawyer	4
120	Cookie Kwan	1
121	Benjamin	1
122	Nibbles	1
123	Sideshow Mel	6
124	Paul Reiser	1
125	Santa's Little Helper	6
126	Martha Prince	2
127	Julius Hibbert	12
128	Luann Van Houten	5
129	Sarah Wiggum	6
130	Doug	1
131	Alice Glick	3
132	Richard Gere	1
133	Choppy the Lumberjack	1
134	Abraham Simpson	10
135	Brenda	1
136	Constance Harm	1
137	Amber Simpson	1
138	Bears	1
139	Ginger Flanders	1
140	Mr. Johansen	1
141	Gabriel	1
142	Strom Thurmond	1
143	Joe Quimby	5
144	Dia-Betty	1
145	Bleeding Gums Murphy	1
146	Charlie	3
147	Larry	2
