Id	Label	Size
1	Waylon Smithers, Jr.	7
2	Bear	1
3	Gerald Samson	2
4	Patty Bouvier	11
5	Maggie Simpson	21
6	Bart Simpson	20
7	Gloria	2
8	Brandine Del Roy	6
9	Sideshow Bob	3
10	Homer Simpson	21
11	The Mulk	1
12	Lucky Jim	1
13	Marge Simpson	21
14	Gil Gunderson	7
15	Irish Boy Most Resembling a Potato	1
16	Disco Stu	8
17	Charles Montgomery Burns	9
18	Leprechaun	2
19	Cletus Spuckler	9
20	Fat Tony	1
21	Snake Jailbird	9
22	Lou	8
23	Comic Book Guy	12
24	Joe Quimby	7
25	Drederick Tatum	3
26	Patrick Farrelly	1
27	Agnes Skinner	11
28	Gary Chalmers	9
29	Lisa Simpson	21
30	Sam	8
31	Blue-haired lawyer	5
32	Northern Irish leprechaun	1
33	Selma Bouvier	12
34	Lenny Leonard	15
35	Bernice Hibbert	8
36	Roy Snyder	1
37	Carl Carlson	15
38	Julius Hibbert	14
39	Seymour Skinner	18
40	Moe Szyslak	17
41	Ned Flanders	13
42	Maude Flanders	3
43	Eddie	7
44	Wolf the Bounty Hunter	1
45	Clay Roberts	1
46	The Thung	1
47	Clancy Wiggum	13
48	Lewis Clark	7
49	The Rich Texan	8
50	Derek Jeter	1
51	Sideshow Mel	8
52	Terri Mackleberry	6
53	Australian barfly	1
54	Swedish bartender	1
55	Scarlet Tanager	1
56	Janey Powell	9
57	Unnamed director	1
58	Warrior statue	1
59	Jonathan Frink	8
60	Horatio McCallister	7
61	Luigi Risotto	3
62	Martin Prince, Jr.	5
63	Milhouse Van Houten	13
64	Nick Riviera	4
65	Jasper Beardly	10
66	Denis Leary	1
67	Diego	1
68	Dolph Starbeam	7
69	Chuck	1
70	Sherri Mackleberry	6
71	Wendell Borton	4
72	Australian bartender	1
73	Nelson Muntz	8
74	Hawaiian bartender	1
75	FBI agent	1
76	Wirakocha	1
77	Kirk Van Houten	9
78	Jimbo Jones	7
79	Rainier Wolfcastle	6
80	Barney Gumble	11
81	Krusty the Clown	11
82	Richard	6
83	Kearney Zzyzwicz	11
84	Groundskeeper Willie	11
85	Herman Hermann	4
86	Brian Grazer	1
87	Otto Mann	9
88	Devan Woosterfield	1
89	Hans Moleman	8
90	Melvin Van Horne	1
91	Quenly Woosterfield	1
92	Abraham Simpson	13
93	Ruth Powers	6
94	Simon Woosterfield	1
95	Santa's Little Helper	6
96	Charlie	3
97	Timothy Lovejoy	2
98	Señora Bumblebee Man	1
99	Mark Sloan	1
100	Larry	4
101	Adult Bart	1
102	Joe Montana	1
103	Duffman	3
104	Derek Shepherd	1
105	Rod Flanders	6
106	Edna Krabappel	14
107	Shadowfax	1
108	Apu Nahasapeemapetilon	12
109	Manjula Nahasapeemapetilon	6
110	Fleetwood Mac	1
111	Todd Flanders	6
112	Luann Van Houten	5
113	Helen Lovejoy	6
114	Macaulay Culkin	1
115	Kate Winslet	1
116	Abraham Lincoln	2
117	Neil Armstrong	1
118	John Lennon	1
119	Alice Glick	3
120	Snooze	1
121	Grand Pumpkin	1
122	Old Jewish man	6
123	Melody	1
124	Stereotypical advertiser	1
125	Golda Meir	1
126	Lurleen Lumpkin	3
127	Three-Way	1
128	Carnage Destructicus	1
129	Sedan bot	1
130	George Washington	2
131	Ling Bouvier	1
132	George Clooney	1
133	John Wayne	1
134	Prince	1
135	Rip Taylor	1
136	Rafael	8
137	Sex toy	1
138	Bestimus Muchos	1
139	Roger Meyers, Jr.	1
140	Maude Flanders' grandmother	1
141	Kent Brockman	7
142	Mr. Costington	1
143	Helen Caldicott	1
144	Trix Rabbit	1
145	Alberto	1
146	Squeaky-voiced teen	6
147	Ruthie	1
148	Cap'n Crunch	1
149	Davy Crockett	1
150	Howard Simberg	1
151	Count Fudge-ula	1
152	Toucan Sam	1
153	Beatrice	1
154	Sylvia	1
155	Will Shortz	1
156	Ms. Melon	1
157	Lindsey Naegle	5
158	Grady	1
159	Julio	1
160	Ilsa	1
161	Merl Reagle	1
162	Doreen	1
163	Elizabeth Hoover	8
164	Jacqueline Kennedy Onassis	1
165	Dewey Largo	9
166	Timothy Lovejoy, Jr.	6
167	Mr. Teeny	4
168	Amid bin Laden	1
169	Steve Mobbs	1
170	Bumblebee Man	5
171	Prince Olaf of Norway	1
172	Snowball V	2
173	Martin Prince, Sr.	6
174	Becky	3
175	Lunchlady Dora	4
176	The Genie	1
177	Ralph Wiggum	11
178	Female mail carrier	1
179	Martha Prince	5
180	Melissa	3
181	Cat Stevens	1
182	Mina bin Laden	1
183	Scratchy	1
184	Bashir bin Laden	1
185	Itchy	1
186	Mr. Muntz	1
187	Aaron Ableman	1
188	Basket Bells	1
189	WALL·E	1
190	Rupert Murdoch	1
191	Muk Mu	1
192	Richard Branson	1
193	Jeff Bezos	1
194	Marv Albert	1
195	Sarah Wiggum	4
196	Facebook	1
197	Sanjay Nahasapeemapetilon	2
198	Mark Cuban	1
199	Cookie Kwan	7
200	Bill Gates	1
201	Roscoe	1
202	Mark Zuckerberg	1
203	Josh Groban	1
204	Two-nicorn	1
205	Jaffee	2
206	Martin Prince	1
207	Queen Helvetica	1
208	Database	1
209	Juliet Hobbes	1
210	Queen Valedictoria	1
211	Homeroni	1
212	Darth Vader	1
213	Lewis look-alike	2
214	Vance Connor	1
215	Poochie	1
216	Debbie Pinson	1
217	Legs	1
218	Louie	2
219	Plopper	1
220	Hank Scorpio	1
221	Butthead	1
222	Bleeding Gums Murphy	2
223	Allison Taylor	3
224	Artie Ziff	2
225	El Barto	1
226	Crazy Cat Lady	3
227	Mayor Quimby's body guards	1
228	Al Gore	1
229	Harlan Dondelinger	1
230	Troy McClure	1
231	George H. W. Bush	1
232	Coach Krupt	1
